id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.4850712858515,11.347863741411924,Entire home/apt,68,3,170,2018-12-12,1.68,4,103
46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.491455468419446,11.335035377810266,Private room,27,1,163,2019-01-01,1.61,2,360
59697,BOLOGNA CENTRE RELAX & COMFORT,286688,Paolo,,Santo Stefano,44.48754833993418,11.340577016490862,Entire home/apt,70,1,217,2019-01-01,2.91,1,217
70366,Fuoriporta,356310,Maria Ebe,,Porto - Saragozza,44.49699262412887,11.322056843021514,Entire home/apt,69,1,6,2018-12-07,0.10,1,360
72319,AmaBologna Bed & Breakfast porticos,374533,Ersi,,Porto - Saragozza,44.48971877929874,11.32072251647731,Private room,36,2,30,2019-01-01,0.34,2,356
83173,Cosy and bright rooms in Bologna,453008,Fulvio,,Navile,44.510127960382356,11.343160937088964,Private room,26,1,70,2018-06-19,0.75,2,326
85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.478344645807375,11.356715250599693,Entire home/apt,130,2,38,2018-10-24,0.46,1,358
87363,Green courtyard in Bologna,478689,Michelle,,Porto - Saragozza,44.49109068103253,11.322442256675343,Entire home/apt,75,5,24,2018-10-15,0.30,1,41
106260,Nice room & great food experience!!,550844,Andrea & Susanna,,Navile,44.52569967031994,11.31529481254983,Private room,24,2,162,2018-11-16,1.75,3,364
130642,B&B Betta & Bologna,643133,Elisabetta,,Savena,44.4675509848099,11.388903192700726,Private room,50,2,25,2016-10-19,0.27,1,365
145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.49219739390243,11.337265943691733,Private room,40,5,53,2018-09-21,0.59,8,362
163336,Guesthouse Cartoleria - room 2,779753,Samantha,,Santo Stefano,44.48944095850857,11.34848169460723,Private room,35,1,88,2019-01-02,0.97,6,44
174609,be in the city standing campaign,834262,Vasco,,Borgo Panigale - Reno,44.51051339172902,11.272953645662268,Private room,30,1,2,2014-03-19,0.03,4,364
176690,APPARTAMENTO VALENTINA,845691,Maurizio,,Navile,44.515446114165606,11.350121947952324,Entire home/apt,70,2,0,,,1,351
187872,"HOMEMADE Breakfast, Pasta or Pizza!",550844,Andrea & Susanna,,Navile,44.525704631509285,11.314098323596635,Private room,35,2,47,2018-11-18,0.52,3,364
204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,44.49104877664529,11.339822011165275,Private room,44,2,219,2018-12-02,2.45,2,146
207245,3 Bedrooms + Terrace Bologna Old Town Center,569422,Elizabeth,,Porto - Saragozza,44.492535874966826,11.34008698819739,Entire home/apt,110,3,38,2018-08-24,0.48,2,84
209692,a Bologna per vacanze e lavoro ,1033461,Lelio,,Navile,44.516278319451104,11.33073788956799,Private room,25,1,12,2018-09-22,0.94,2,351
219878,Gorgeous Haven in Centro Storico,1139326,Eli,,Santo Stefano,44.486768439942516,11.354938045057244,Entire home/apt,85,3,124,2019-01-04,1.41,2,166
228124,"Self Check-In Apartment ""da Carlo e Alice""",1189801,Michela,,San Donato - San Vitale,44.50461411883777,11.369239662821228,Entire home/apt,60,1,127,2019-01-02,2.17,1,313
228628,"room in luxurious penthouse,centre",1193466,Luca,,Porto - Saragozza,44.49584988298575,11.338376789089493,Private room,66,2,95,2018-09-29,1.23,1,362
229114,Terrace between fair&city center,1196205,Davide,,Navile,44.51163344147234,11.349162439424774,Entire home/apt,64,3,24,2018-11-25,0.32,1,292
233922,Big and central studio open space,1224822,Antonella,,Porto - Saragozza,44.495894331666356,11.329759863725595,Entire home/apt,80,4,19,2018-07-02,0.30,1,340
245295,dormire nel verde,1286718,Nicoletta,,Porto - Saragozza,44.48680074533031,11.31470503801287,Entire home/apt,74,3,8,2017-11-07,0.10,2,228
246747,Charming centro Bologna room with rooftop view,1294101,Giovanna,,Porto - Saragozza,44.49701525646362,11.342905313542227,Private room,68,2,16,2018-11-11,0.21,1,314
250686,Guesthouse Cartoleria - room 4,779753,Samantha,,Santo Stefano,44.48857577520298,11.347823247722388,Private room,35,1,99,2019-01-01,1.21,6,43
266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,,Porto - Saragozza,44.494874239385574,11.332412535463178,Entire home/apt,85,3,45,2018-06-24,0.54,1,206
273713,pleasant bedroom in Bologna centre,1432012,Gianluca,,Porto - Saragozza,44.49517092160303,11.339642090545993,Private room,60,2,23,2018-03-28,0.49,1,359
283973,Homely home in charming Bologna,1476568,Tanya,,Porto - Saragozza,44.49068615774751,11.32510294217792,Private room,35,2,23,2019-01-02,0.28,2,363
286691,"Sunny,Quiet Room Near Center/Fiera ",1517686,Valerio,,Santo Stefano,44.47361256309284,11.369766507472415,Private room,50,1,20,2018-03-17,0.25,1,365
293536,Wonderful house in the heart of Bologna,1517643,Nicola,,Santo Stefano,44.49438957379781,11.353714822832593,Entire home/apt,130,7,26,2018-07-17,0.32,1,0
306910,Albiroli apartment-Piazza Maggiore,1578729,Giulio,,Santo Stefano,44.49555430000567,11.344304966349608,Entire home/apt,150,3,21,2018-08-26,0.25,1,265
309169,New Fresco Suite   in historic centre,184487,Carlo,,Santo Stefano,44.48562542032729,11.347971117940878,Private room,100,1,66,2019-01-01,0.80,4,240
341796,Bologna bike and chic apartament!,1734175,Nilla,,San Donato - San Vitale,44.49459587685145,11.375765734063423,Private room,38,3,2,2017-04-08,0.09,1,316
359045,Elegante Mansarda - BOLOGNA CENTRO,1817171,Francesca,,Santo Stefano,44.495115806101495,11.350453607899524,Entire home/apt,55,7,55,2019-01-02,0.69,1,229
372605,Graziosa casetta monolocale in Bologna,1875532,Antonella,,Santo Stefano,44.477581925553196,11.347975407219234,Entire home/apt,70,2,8,2018-07-15,0.44,1,326
372849,Apartment Pietro's (center city),1876282,Dorian,,Santo Stefano,44.492424846553554,11.355926204717147,Entire home/apt,55,2,50,2018-10-07,0.79,2,277
373095,A due passi da Piazza Maggiore,1877146,Giulio,,Porto - Saragozza,44.49645693580476,11.330538638643036,Entire home/apt,69,2,69,2018-11-12,0.86,5,67
374090,Appartamento in pieno centro,1882258,Morena,,Porto - Saragozza,44.49462214316557,11.330877110372585,Entire home/apt,100,2,192,2019-01-01,2.35,2,351
374610,"Cozy studio ,WIFI,kitchen and bath!",1884566,Federico,,Santo Stefano,44.49127709512317,11.356170309182515,Entire home/apt,51,2,69,2018-12-07,0.97,4,357
376826,"Nice, Loft in the historic center",1877146,Giulio,,Porto - Saragozza,44.49603061040329,11.336764613485286,Entire home/apt,90,2,194,2018-10-20,2.38,5,203
383256,Apartment Open Space on two floor!,1884566,Federico,,Porto - Saragozza,44.50103178474634,11.34217962213437,Entire home/apt,75,2,135,2018-12-29,1.64,4,185
388886,Room 10min from city center and airport,1945715,Andrea,,Navile,44.52426695734534,11.314197876953095,Private room,30,2,11,2018-11-18,0.14,1,89
411523,Melograno's house downtown Bologna,2048622,Irene,,Santo Stefano,44.49394544196725,11.353971070551323,Entire home/apt,80,3,84,2019-01-01,1.25,3,320
428387,Casa Nobili,675980,Giuseppe,,Santo Stefano,44.4927074042203,11.34490053687477,Entire home/apt,57,2,405,2018-12-29,5.26,1,229
434123,La valigia italiana,2157833,Grazia,,San Donato - San Vitale,44.48592931904803,11.368407762072565,Private room,24,2,73,2018-09-14,0.89,1,29
434796,"BELLA RESINA,zona FIERA tangenziale",2160085,Claudia,,San Donato - San Vitale,44.52133737944957,11.381730458218717,Private room,100,2,11,2018-09-27,0.14,1,0
442819,apartment near down town,2200704,Gianmassimo,,Porto - Saragozza,44.49582885011026,11.316759575781374,Private room,40,1,80,2019-01-13,1.00,1,93
447120,Green area ten minutes from downtow,2219894,Stefania,,Savena,44.46935566006646,11.384126218578603,Private room,48,1,10,2018-03-16,0.14,1,349
496906,charming studio in the old town,2453897,Alessandro,,Porto - Saragozza,44.49032132699631,11.337492323550038,Entire home/apt,65,2,3,2016-09-24,0.05,2,349
510771,"BOLOGNA CITY, NEAR FAIR AND AIRPORT",2516628,Coach Maurizio Salamina,,Borgo Panigale - Reno,44.49596369689715,11.291096921864852,Private room,100,1,52,2016-01-02,0.67,1,349
524880,Petronio's house in the heart of Bo,2048622,Irene,,Santo Stefano,44.488546755569004,11.35386592266018,Entire home/apt,60,3,110,2018-11-25,1.39,3,356
531700,Central 2TORRI+Historical+Ideal Families+Friends,2613427,Caterina,,Santo Stefano,44.49360610515304,11.348887963769318,Entire home/apt,35,2,273,2019-01-13,3.51,1,211
556818,A nice flat in the heart of thcity,612927,Angiolo,,Santo Stefano,44.49722827463266,11.347006681170473,Entire home/apt,120,2,74,2018-11-11,1.04,1,351
570880,sweet loft in bologna's heart,123920,Giorgio,,Porto - Saragozza,44.49146698050681,11.336614264190665,Entire home/apt,100,2,55,2018-10-13,0.70,1,351
580236,Two rooms in Bologna,2671558,Fabio,,Santo Stefano,44.47562504970099,11.37426808579998,Shared room,28,2,16,2016-02-01,0.20,3,227
584370,Cosy Single Room with  bathroom,2879369,Andrea,,Porto - Saragozza,44.49092268967067,11.31352528794477,Private room,40,1,15,2018-10-19,0.21,2,359
606753,Two rooms in Bologna,2671558,Fabio,,Santo Stefano,44.47685278298068,11.373271783255273,Shared room,25,2,6,2015-08-17,0.08,3,227
659045,wonderful apartment near the center,2453897,Alessandro,,Porto - Saragozza,44.49960879670987,11.317629514898785,Entire home/apt,60,2,3,2013-08-21,0.04,2,361
670524,Nice apt in the historical center,3397512,Giulio,,Santo Stefano,44.492823841498655,11.355006456011733,Entire home/apt,45,2,12,2018-07-25,0.16,1,0
670610,Easy Bologna for all seasons,3315552,Federica,,Porto - Saragozza,44.504336922363265,11.332313516301818,Entire home/apt,45,3,36,2018-12-25,0.48,1,131
670725,Camera singola e bagno accogliente ,3398944,Enzo,,Savena,44.469877650051096,11.376728298807906,Private room,75,1,2,2018-10-07,0.03,2,365
675432,Amazing attic with lovely terrace ,3430935,Lisetta,,Santo Stefano,44.48845393874407,11.340616348790274,Entire home/apt,100,2,119,2019-01-02,1.54,1,356
678013, CasaSimo-Appartamento su 2 livelli,12992655,Simo,,San Donato - San Vitale,44.4964652382417,11.36230855689931,Entire home/apt,72,3,26,2018-09-29,0.34,1,290
684271,Ca 'de' Fiori self catering apartm.,3488947,Cristina,,Navile,44.51541177132412,11.346283099607739,Entire home/apt,110,2,4,2018-11-11,0.10,1,331
686406,Lovely attic in Bologna city,1997468,Elena E Stefano,,Porto - Saragozza,44.498601129668764,11.340101587475164,Private room,38,2,71,2017-12-23,0.93,1,351
