id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
9897929,310,50905063,Entire home/apt,Italy,Bologna,,Porto - Saragozza,2,5,3,1,1,74,,,2016-02-07 07:17:32.479093,44.495863,11.338217,0101000020E610000008E753C72AAD2640F2255470783F4640
9374720,310,2327807,Entire home/apt,Italy,Bologna,,Porto - Saragozza,3,4.5,4,2,2,115,1,,2016-02-07 07:17:05.061782,44.500009,11.336348,0101000020E6100000672618CE35AC2640535A7F4B00404640
3495460,310,11233208,Entire home/apt,Italy,Bologna,,Savena,6,4,2,2,1,52,1,,2016-02-07 07:17:01.716454,44.484963,11.387083,0101000020E6100000D6AC33BE2FC6264091628044133E4640
6393945,310,33308513,Entire home/apt,Italy,Bologna,,Borgo Panigale - Reno,18,5,2,1,1,46,1,,2016-02-07 07:16:59.375070,44.517776,11.292734,0101000020E6100000C2DA183BE1952640AC53E57B46424640
10460355,310,46475996,Private room,Italy,Bologna,,Savena,0,,2,1,1,35,1,,2016-02-07 07:16:52.109834,44.475507,11.392459,0101000020E6100000AF0AD462F0C826407102D369DD3C4640
7758864,310,40786854,Entire home/apt,Italy,Bologna,,Porto - Saragozza,22,4.5,5,0,1,69,2,,2016-02-07 07:16:42.190766,44.493992,11.34186,0101000020E6100000029F1F4608AF2640293E3E213B3F4640
7105790,310,37227072,Private room,Italy,Bologna,,Santo Stefano,3,3.5,2,1,1,80,1,,2016-02-07 07:16:35.593741,44.491409,11.351313,0101000020E6100000BD512B4CDFB32640E3FA777DE63E4640
2349237,310,7802745,Entire home/apt,Italy,Bologna,,Santo Stefano,52,5,3,0,1,87,2,,2016-02-07 07:16:23.428032,44.50112,11.34847,0101000020E61000003546EBA86AB226408EAF3DB324404640
4773350,310,24620140,Entire home/apt,Italy,Bologna,,Porto - Saragozza,89,5,4,1,1,71,2,,2016-02-07 07:16:16.974191,44.490926,11.33329,0101000020E6100000ED2AA4FCA4AA2640C860C5A9D63E4640
8449531,310,12024570,Private room,Italy,Bologna,,San Donato - San Vitale,5,4.5,2,1,1,34,2,,2016-02-07 07:16:14.790195,44.509557,11.377194,0101000020E6100000AE7E6C921FC126405439ED2939414640
2153199,310,10988804,Private room,Italy,Bologna,,Porto - Saragozza,42,5,1,1,1,46,1,,2016-02-07 07:16:10.367459,44.500781,11.341768,0101000020E61000007FA31D37FCAE2640A6BA809719404640
5770795,310,3155236,Private room,Italy,Bologna,,Santo Stefano,66,4.5,2,1,1,46,1,,2016-02-07 07:15:46.815519,44.487515,11.347307,0101000020E610000000581D39D2B126409CA73AE4663E4640
541066,310,2312193,Private room,Italy,Bologna,,Santo Stefano,126,4.5,3,1,1,52,2,,2016-02-07 07:15:35.854660,44.493486,11.348618,0101000020E61000000798F90E7EB2264055849B8C2A3F4640
2261557,310,11196379,Entire home/apt,Italy,Bologna,,Santo Stefano,14,5,3,2,1,80,3,,2016-02-07 07:15:32.051547,44.495127,11.348932,0101000020E6100000450E1137A7B22640EC2E5052603F4640
5494749,310,28493898,Entire home/apt,Italy,Bologna,,Porto - Saragozza,25,4.5,3,2,1,46,1,,2016-02-07 07:15:29.292241,44.49596,11.316628,0101000020E6100000EBFEB1101DA22640E40F069E7B3F4640
5696105,310,29531169,Private room,Italy,Bologna,,San Donato - San Vitale,15,5,2,1,2,27,1,,2016-02-07 07:15:25.013283,44.511032,11.395167,0101000020E6100000B8EA3A5453CA2640D09A1F7F69414640
5849940,310,30373860,Private room,Italy,Bologna,,Borgo Panigale - Reno,26,5,3,1,1,35,1,,2016-02-07 07:15:22.138238,44.521179,11.295161,0101000020E6100000FC1BB4571F972640552E54FEB5424640
5035040,310,25991627,Private room,Italy,Bologna,,Navile,1,4,2,1,2,46,1,,2016-02-07 07:15:19.310018,44.548173,11.362592,0101000020E61000001C959BA8A5B926406DC669882A464640
9134712,310,47575961,Entire home/apt,Italy,Bologna,,Porto - Saragozza,9,5,4,0,1,63,2,,2016-02-07 07:15:05.885269,44.506348,11.339652,0101000020E6100000BF0AF0DDE6AD26409032E202D0404640
10843744,310,55155942,Private room,Italy,Bologna,,Porto - Saragozza,0,,2,1,1,58,1,,2016-02-07 07:15:00.976762,44.49217,11.331981,0101000020E610000069C9E369F9A926404209336DFF3E4640
2219937,310,11325267,Private room,Italy,Bologna,,Porto - Saragozza,37,4.5,1,1,1,29,1,,2016-02-07 07:14:56.688265,44.503719,11.308645,0101000020E6100000D925AAB7069E2640D9AF3BDD79404640
3837496,310,7419507,Private room,Italy,Bologna,,Porto - Saragozza,80,4.5,2,1,1,29,1,,2016-02-07 07:14:52.241944,44.499408,11.327707,0101000020E61000002E573F36C9A726402EAEF199EC3F4640
6623029,310,34645622,Private room,Italy,Bologna,,San Donato - San Vitale,6,5,2,1,,32,1,,2016-02-07 07:14:39.851270,44.496132,11.398927,0101000020E610000098FBE42840CC2640E23FDD40813F4640
4773758,310,5163693,Entire home/apt,Italy,Bologna,,San Donato - San Vitale,28,4.5,4,0,1,46,1,,2016-02-07 07:14:31.432513,44.518756,11.395295,0101000020E61000006E8B321B64CA2640494DBB9866424640
8650395,310,27780872,Entire home/apt,Italy,Bologna,,San Donato - San Vitale,6,5,3,1,1,52,2,,2016-02-07 07:14:25.202095,44.494505,11.382468,0101000020E610000076887FD8D2C32640AF5A99F04B3F4640
6903319,310,29404800,Private room,Italy,Bologna,,Santo Stefano,9,4,2,1,1,40,1,,2016-02-07 07:14:20.730756,44.500689,11.351111,0101000020E61000001E882CD2C4B32640C53BC09316404640
1453261,310,7130037,Entire home/apt,Italy,Bologna,,Porto - Saragozza,69,4.5,4,1,1,68,3,,2016-02-07 07:14:15.705889,44.494787,11.336309,0101000020E610000070B378B130AC264034BE2F2E553F4640
174096,310,831542,Private room,Italy,Bologna,,Borgo Panigale - Reno,42,5,2,1,2,52,1,,2016-02-07 07:14:05.852575,44.503704,11.30145,0101000020E610000027C286A7579A2640A46E675F79404640
411523,310,2048622,Entire home/apt,Italy,Bologna,,Santo Stefano,37,5,2,1,2,92,2,,2016-02-07 07:14:03.406227,44.493945,11.353971,0101000020E6100000FF76D9AF3BB52640E882FA96393F4640
4316416,310,22398130,Entire home/apt,Italy,Bologna,,Santo Stefano,49,4.5,2,1,1,69,1,,2016-02-07 07:13:57.676852,44.485552,11.34656,0101000020E61000001A34F44F70B12640F2406491263E4640
4838454,310,24901833,Private room,Italy,Bologna,,San Donato - San Vitale,0,,1,1,1,56,1,,2016-02-07 07:13:44.959306,44.502966,11.391309,0101000020E6100000CC423BA759C82640FE7F9C3061404640
732525,310,2879369,Private room,Italy,Bologna,,Porto - Saragozza,9,5,3,1,1,67,1,,2016-02-07 07:13:37.239919,44.490921,11.312353,0101000020E61000006F9D7FBBEC9F2640B6F5D37FD63E4640
11012569,310,33454009,Entire home/apt,Italy,Bologna,,Navile,0,,4,2,1,58,4,,2016-02-07 07:13:33.618802,44.512567,11.344782,0101000020E6100000BB7F2C4487B026402101A3CB9B414640
1894656,310,9845735,Private room,Italy,Bologna,,Santo Stefano,96,4,2,1,1,46,2,,2016-02-07 07:13:27.638726,44.494744,11.345669,0101000020E6100000677BF486FBB0264034F279C5533F4640
2827612,310,14465688,Entire home/apt,Italy,Bologna,,Santo Stefano,45,4.5,2,0,1,61,3,,2016-02-07 07:13:24.104908,44.489068,11.349742,0101000020E61000004513286211B3264094C2BCC7993E4640
8379803,310,13699930,Private room,Italy,Bologna,,Porto - Saragozza,8,5,2,1,1,46,1,,2016-02-07 07:13:20.016149,44.494306,11.339782,0101000020E6100000F88903E8F7AD2640B91B446B453F4640
10038099,310,49238254,Entire home/apt,Italy,Bologna,,Santo Stefano,1,4,3,1,1,103,,,2016-02-07 07:13:01.356200,44.496483,11.346231,0101000020E610000006B98B3045B126408E0244C18C3F4640
6701552,310,35079263,Private room,Italy,Bologna,,Santo Stefano,2,5,1,1,1,40,1,,2016-02-07 07:12:58.732353,44.496516,11.349186,0101000020E61000002E71E481C8B226406AF816D68D3F4640
8702765,310,45685386,Entire home/apt,Italy,Bologna,,Santo Stefano,0,,3,1,1,63,1,,2016-02-07 07:12:45.634097,44.50096,11.345375,0101000020E610000046B6F3FDD4B02640554D10751F404640
8224300,310,6152181,Entire home/apt,Italy,Bologna,,Porto - Saragozza,4,5,4,2,1,115,1,,2016-02-07 07:12:21.451808,44.502128,11.336148,0101000020E61000004B3B35971BAC2640F433F5BA45404640
5718124,310,29646055,Entire home/apt,Italy,Bologna,,Porto - Saragozza,14,4.5,2,1,1,80,2,,2016-02-07 07:12:11.255541,44.496517,11.342245,0101000020E6100000657094BC3AAF26403A747ADE8D3F4640
3216486,310,16289536,Private room,Italy,Bologna,,Navile,21,5,2,1,1,58,1,,2016-02-07 07:11:58.094677,44.509034,11.341999,0101000020E61000008787307E1AAF2640AA46AF0628414640
11009855,310,57129458,Entire home/apt,Italy,Bologna,,San Donato - San Vitale,0,,4,3,2,138,2,,2016-02-07 07:11:45.315055,44.504359,11.361933,0101000020E6100000B4AF3C484FB92640BD38F1D58E404640
7447664,310,26695240,Private room,Italy,Bologna,,Porto - Saragozza,33,4.5,2,1,2,40,2,,2016-02-07 07:11:36.095512,44.503081,11.331849,0101000020E6100000AD6BB41CE8A92640971E4DF564404640
5099474,310,7818383,Private room,Italy,Bologna,,Santo Stefano,13,5,3,1,1,58,1,,2016-02-07 07:11:25.796912,44.49301,11.350264,0101000020E6100000AAEE91CD55B32640EC4CA1F31A3F4640
4292173,310,9306065,Entire home/apt,Italy,Bologna,,Santo Stefano,7,4.5,3,0,1,61,4,,2016-02-07 07:11:23.258230,44.493748,11.354821,0101000020E610000037DE1D19ABB52640923B6C22333F4640
5476207,310,28399053,Private room,Italy,Bologna,,San Donato - San Vitale,32,4.5,2,1,1,23,5,,2016-02-07 07:11:20.399709,44.491714,11.373062,0101000020E6100000BDC282FB01BF2640207EFE7BF03E4640
9500062,310,11068311,Entire home/apt,Italy,Bologna,,San Donato - San Vitale,3,4.5,2,1,1,58,2,,2016-02-07 07:11:14.847455,44.496816,11.364075,0101000020E61000001895D40968BA26409510ACAA973F4640
