id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.48507,11.34786,Entire home/apt,68,3,172,2019-04-01,1.66,4,168
46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49146,11.33504,Private room,28,1,171,2019-03-26,1.64,2,354
59697,BOLOGNA CENTRE RELAX & COMFORT,286688,Paolo,,Santo Stefano,44.48755,11.34058,Entire home/apt,70,1,217,2019-01-01,2.80,1,296
70366,Fuoriporta,356310,Maria Ebe,,Porto - Saragozza,44.49699,11.32206,Entire home/apt,69,1,6,2018-12-07,0.10,1,360
72319,AmaBologna Bed & Breakfast porticos,374533,Ersi,,Porto - Saragozza,44.48972,11.32072,Private room,36,3,30,2019-01-01,0.33,2,344
72628,Studio Spagna 2,377010,Donatella,,Porto - Saragozza,44.49176,11.33918,Entire home/apt,132,1,5,2019-03-31,5,2,218
83173,Cosy and bright rooms in Bologna,453008,Fulvio,,Navile,44.51013,11.34316,Private room,26,30,70,2018-06-19,0.73,2,100
85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47834,11.35672,Entire home/apt,130,2,39,2019-03-18,0.45,1,314
87363,Green courtyard in Bologna,478689,Michelle,,Porto - Saragozza,44.49109,11.32244,Entire home/apt,75,5,24,2018-10-15,0.29,1,2
106260,Nice room & great food experience!!,550844,Andrea & Susanna,,Navile,44.5257,11.31529,Private room,24,2,162,2018-11-16,1.70,3,358
130642,B&B Betta & Bologna,643133,Elisabetta,,Savena,44.46755,11.3889,Private room,50,2,25,2016-10-19,0.27,1,365
145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.4922,11.33727,Private room,40,3,54,2019-02-02,0.59,8,362
163336,Guesthouse Cartoleria - room 2,779753,Samantha,,Santo Stefano,44.48944,11.34848,Private room,35,1,91,2019-04-04,0.97,6,137
187872,"HOMEMADE Breakfast, Pasta or Pizza!",550844,Andrea & Susanna,,Navile,44.5257,11.3141,Private room,35,2,47,2018-11-18,0.51,3,364
204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,44.49105,11.33982,Private room,49,2,226,2019-04-03,2.45,2,70
207245,3 Bedrooms + Terrace Bologna Old Town Center,569422,Elizabeth,,Porto - Saragozza,44.49254,11.34009,Entire home/apt,110,3,39,2019-03-11,0.48,2,37
209692,a Bologna per vacanze e lavoro ,1033461,Lelio,,Navile,44.51628,11.33074,Private room,25,1,17,2019-03-10,1.09,2,287
