,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,zone
0,42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.48507,11.34786,Entire home/apt,68,3,180,2021-11-12,1.32,1,161,6,,Galvani
1,46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49168,11.335139999999999,Private room,29,1,300,2021-11-30,2.2,2,248,37,,Malpighi
2,59697,COZY LARGE BEDROOM in the city center,286688,Paolo,,Santo Stefano,44.488170000000004,11.341239999999999,Private room,50,1,240,2020-10-04,2.18,2,327,0,,Galvani
3,85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47834,11.35672,Entire home/apt,126,2,40,2019-11-03,0.34,1,332,0,,Murri
4,145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.49306,11.337860000000001,Private room,50,10,69,2021-12-05,0.55,9,365,5,,Malpighi
5,209692,a Bologna per vacanze e lavoro,1033461,Lelio,,Navile,44.51628,11.330739999999999,Private room,35,1,22,2021-11-08,0.46,3,260,3,,Lame
6,219878,Gorgeous Haven in Centro Storico,1139326,Elisa,,Santo Stefano,44.48787,11.35392,Entire home/apt,85,3,142,2021-11-30,1.15,2,14,5,,Galvani
7,229114,Terrace between fair&city center,1196205,Davide,,Navile,44.51072,11.34957,Entire home/apt,66,3,35,2021-11-27,0.31,1,131,7,,Bolognina
8,233922,Big and central studio open space,1224822,Antonella,,Porto - Saragozza,44.49589,11.32976,Entire home/apt,80,4,19,2018-07-02,0.19,1,260,0,,Malpighi
9,246747,Charming centro Bologna room with rooftop view,1294101,Giovanna,,Porto - Saragozza,44.49702,11.34291,Private room,68,2,25,2021-10-02,0.22,1,347,5,,Marconi
10,266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,,Porto - Saragozza,44.49487,11.332410000000001,Entire home/apt,75,20,53,2020-03-01,0.45,1,146,0,,Malpighi
11,286691,"Sunny,Quiet Room Near Center/Fiera",1517686,Valerio,,Santo Stefano,44.47361,11.369769999999999,Private room,56,1,22,2020-03-06,0.19,1,0,0,,Murri
12,293536,Wonderful house in the heart of Bologna,1517643,Nicola,,Santo Stefano,44.49439,11.353710000000001,Entire home/apt,220,7,32,2019-10-20,0.27,1,320,0,,Irnerio
13,306910,Albiroli apartment-Piazza Maggiore,1578729,Giulio,,Santo Stefano,44.49555,11.3443,Entire home/apt,80,4,23,2019-11-04,0.19,1,195,0,,Irnerio
14,372605,Graziosa casetta monolocale in Bologna,1875532,Antonella,,Santo Stefano,44.47733,11.34821,Entire home/apt,60,2,15,2020-03-13,0.28,1,168,0,,Colli
15,373095,A due passi da Piazza Maggiore,1877146,Giulio,,Porto - Saragozza,44.49745,11.33025,Entire home/apt,69,2,77,2020-02-23,0.66,5,0,0,,Malpighi
16,374090,Appartamento in pieno centro,1882258,Morena,,Porto - Saragozza,44.49548,11.330219999999999,Entire home/apt,120,2,225,2021-11-30,1.92,2,361,11,,Malpighi
17,374610,"Cozy studio ,WIFI,kitchen and bath!",1884566,Federico,,Santo Stefano,44.491279999999996,11.35617,Entire home/apt,32,2,86,2021-09-29,0.8,4,35,3,,Irnerio
18,376826,"Nice, Loft in the historic center",1877146,Giulio,,Porto - Saragozza,44.49564,11.33601,Entire home/apt,90,2,200,2021-08-18,1.71,5,243,2,,Marconi
19,377126,Camera a Bologna,1895492,Cristina,,San Donato - San Vitale,44.50483,11.362060000000001,Private room,35,3,0,,,1,260,0,,San Donato
20,383256,Apartment Open Space on two floor!,1884566,Federico,,Porto - Saragozza,44.50103,11.34218,Entire home/apt,40,2,166,2021-11-27,1.41,4,25,5,,Marconi
21,411523,Melograno's house downtown Bologna,2048622,Irene,,Santo Stefano,44.4931,11.35442,Entire home/apt,90,3,102,2021-08-15,0.99,3,255,4,,Irnerio
22,434796,"BELLA RESINA,zona FIERA tangenziale",2160085,Claudia,,San Donato - San Vitale,44.52134,11.381730000000001,Private room,100,2,11,2018-09-27,0.1,1,365,0,,San Donato
23,442819,apartment near down town,2200704,Gianmassimo,,Porto - Saragozza,44.496140000000004,11.31751,Private room,34,1,113,2020-02-16,0.97,1,51,0,,Costa Saragozza
24,447120,Green area ten minutes from downtow,2219894,Stefania,,Savena,44.469359999999995,11.38413,Private room,49,1,10,2018-03-16,0.09,1,0,0,,Mazzini
25,496906,charming studio in the old town,2453897,Alessandro,,Porto - Saragozza,44.490320000000004,11.337489999999999,Entire home/apt,60,2,6,2021-08-11,0.07,3,213,2,,Malpighi
26,524880,Petronio's house in the heart of Bo,2048622,Irene,,Santo Stefano,44.48855,11.35387,Entire home/apt,58,3,125,2021-10-24,1.09,3,138,4,,Galvani
27,529982,studio apt cozy  center of bologna,1919078,Laura,,Porto - Saragozza,44.49273,11.341289999999999,Entire home/apt,42,5,7,2017-12-31,0.06,1,156,0,,Malpighi
28,556818,A nice flat in the heart of thcity,612927,Angiolo,,Santo Stefano,44.49723,11.347010000000001,Entire home/apt,120,2,87,2020-01-03,0.81,1,218,0,,Irnerio
29,570880,sweet loft in bologna's heart,123920,Giorgio,,Porto - Saragozza,44.49147,11.33661,Entire home/apt,96,2,65,2020-08-31,0.57,1,287,0,,Malpighi
30,648513,Cosy studio in the World Heritage site,95428,Simona,,Porto - Saragozza,44.49395,11.341280000000001,Entire home/apt,63,7,11,2017-12-28,0.1,2,186,0,,Malpighi
31,659024,nice studio in the old city center,2453897,Alessandro,,Porto - Saragozza,44.49022,11.336780000000001,Entire home/apt,80,3,17,2016-03-24,0.15,3,211,0,,Malpighi
32,659045,wonderful apartment near the center,2453897,Alessandro,,Porto - Saragozza,44.49961,11.31763,Entire home/apt,50,2,5,2021-10-10,0.05,3,193,1,,Saffi
33,670610,Easy Bologna for all seasons,3315552,Federica,,Porto - Saragozza,44.503609999999995,11.33204,Entire home/apt,85,5,39,2021-07-28,0.35,1,243,1,,Saffi
34,670725,Camera singola e bagno accogliente,3398944,Enzo,,Savena,44.469879999999996,11.37673,Private room,75,1,2,2018-10-07,0.02,2,365,0,,S. Ruffillo
35,690226,Bologna on the roof,2048622,Irene,,Santo Stefano,44.49007,11.35267,Entire home/apt,100,3,64,2021-12-04,0.57,3,308,2,,Galvani
36,708145,A little nest in Bologna,3641392,A Casa Fuori Casa Di Stefano & Cinz,,Borgo Panigale - Reno,44.50815,11.295630000000001,Entire home/apt,1429,2,32,2018-03-19,0.3,1,331,0,,S. Viola
37,715819,Bright and elegant big apartment,3688693,Nic&Giovi,,Santo Stefano,44.473490000000005,11.36903,Entire home/apt,80,3,89,2020-08-19,0.81,1,14,0,,Murri
38,724304,Bologna cities and universities,3026417,Michela,,Santo Stefano,44.49325,11.351189999999999,Entire home/apt,110,2,45,2021-05-29,0.42,1,260,1,,Irnerio
39,728099,Large tavernetta 7 minutes from Bologna,2047280,Gabriele,,Borgo Panigale - Reno,44.515859999999996,11.28225,Entire home/apt,51,2,167,2021-10-30,1.49,2,351,15,,Borgo Panigale
40,732204,V4 - BOLOGNA AT HEART,1647751,Claudia,,Porto - Saragozza,44.49779,11.342319999999999,Private room,45,1,480,2021-12-02,4.58,1,259,65,,Marconi
41,742415,"IN FIERA 5: large,in the face fair",3858191,Ennio,,San Donato - San Vitale,44.50522,11.363539999999999,Entire home/apt,176,2,32,2020-01-02,0.34,3,242,0,,San Donato
42,749324,Quiet Studio in Old Town,1877146,Giulio,,Porto - Saragozza,44.49561,11.3361,Entire home/apt,68,2,342,2021-12-05,3.08,5,214,9,,Marconi
43,793706,Miniappartamento in Tavernetta,4181174,Flavia,,Santo Stefano,44.48753,11.34114,Entire home/apt,22,3,347,2021-08-31,3.18,1,154,8,,Galvani
44,804596,A quiet Place to stay,4235069,Elena,,Porto - Saragozza,44.49824,11.33956,Entire home/apt,78,2,200,2021-11-30,1.83,2,148,9,,Marconi
45,813260,Very cosy bedroom in a flat in a beatiful side,4129542,Neva,,Santo Stefano,44.47918,11.35856,Entire home/apt,120,1,3,2013-03-28,0.03,1,200,0,,Murri
46,823379,Zer051 Apartment Dossetti,4322997,Elena,,Navile,44.5132,11.356630000000001,Entire home/apt,70,1,54,2019-05-19,0.51,1,0,0,,Bolognina
47,838885,Very good Double room with private Bathroom -,4350204,Marco,,Porto - Saragozza,44.49205,11.31838,Private room,62,2,4,2021-09-30,0.08,1,173,1,,Costa Saragozza
