,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,zone
0,42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.48507,11.34786,Entire home/apt,76,3,199,2023-01-20,1.31,1,250,17,,Galvani
1,46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49168,11.335139999999999,Private room,32,2,368,2023-02-24,2.42,2,58,60,,Malpighi
2,1782703,A beautiful view on the old canal,9357589,Elena Maria,,Santo Stefano,44.4976,11.34737,Entire home/apt,130,3,83,2022-07-23,0.72,1,23,11,,Irnerio
3,1791860,"Strategico centro, fiera, ospedale",9401144,Antonella,,San Donato - San Vitale,44.507459999999995,11.37597,Entire home/apt,86,2,102,2021-10-19,0.89,1,1,0,,San Donato
4,1853123,B&B Chez moi,9587199,Uliana,,Santo Stefano,44.49201,11.352780000000001,Hotel room,133,1,0,,,4,48,0,03336131200,Irnerio
5,1858359,Cozy and quiet two-floors loft in via del Pratello,9696899,Susanna,,Porto - Saragozza,44.4965,11.3317,Entire home/apt,113,3,9,2023-02-12,0.08,3,55,8,,Malpighi
6,4254158,The Attic - Casa Fluò Relais,17806592,Casa Fluò,,Santo Stefano,44.44457,11.31932,Private room,172,1,0,,,4,327,0,,Colli
7,4254214,Blue Room - Casa  Fluò Relais,17806592,Casa Fluò,,Santo Stefano,44.44571,11.31906,Private room,168,1,4,2023-02-25,0.05,4,305,1,,Colli
8,85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47834,11.35672,Entire home/apt,120,2,45,2023-03-08,0.34,1,130,5,,Murri
9,4254246,Yellow Room - Casa Fluò Relais,17806592,Casa Fluò,,Santo Stefano,44.44348,11.31886,Private room,157,1,1,2018-09-26,0.02,4,294,0,,Colli
10,4254270,Red Room - Casa Fluò Relais,17806592,Casa Fluò,,Santo Stefano,44.443490000000004,11.3208,Private room,168,1,0,,,4,308,0,,Colli
11,1863235,beautifull loft  top of Bologna,8864905,Robert,,Savena,44.47614,11.38541,Entire home/apt,133,5,33,2023-02-25,0.3,1,253,5,,Mazzini
12,1872453,RoomTouchAndGo fiera Bologna,9757089,Leonardo,,Navile,44.51598,11.35844,Entire home/apt,200,1,5,2022-06-26,0.05,1,347,3,,Bolognina
13,4256731,"ACCOGLIENTE,PANORAMICO,STRATEGICO!!",16454233,Silvana,,Santo Stefano,44.48342,11.37303,Entire home/apt,60,2,5,2018-01-29,0.05,1,0,0,,Murri
14,145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.49306,11.337860000000001,Private room,86,10,71,2022-04-30,0.51,2,365,1,,Malpighi
15,4267676,Romantic Art Homestay in Bologna,6048019,Katharina,,Porto - Saragozza,44.49497,11.33182,Entire home/apt,63,2,66,2022-11-04,0.66,1,236,1,,Malpighi
16,4275165,LOVELY & QUITE NEAR AIRPORT&STATION,10565373,Michela Borghetto,,Borgo Panigale - Reno,44.51474,11.28477,Entire home/apt,850,1,69,2022-08-17,0.7,16,171,4,,Borgo Panigale
17,4275390,VERY BELLO TRA STAZIONE E AEROPORTO,10565373,Michela Borghetto,,Borgo Panigale - Reno,44.51443,11.284419999999999,Entire home/apt,1219,1,84,2020-08-13,0.87,16,112,0,,Borgo Panigale
18,1949394,Matrimoniale nel cuore di Bologna,10080893,Flavio E Viviana,,Santo Stefano,44.4992,11.34747,Private room,30,5,20,2018-04-16,0.18,1,77,0,,Irnerio
19,1953800,Wanda's Apartment,5486828,Nicola,,Santo Stefano,44.48805,11.32981,Entire home/apt,136,1,214,2023-01-29,1.89,2,250,21,,Colli
20,2050217,Nice Studio,10507736,Cosimo,,Navile,44.51099,11.33365,Entire home/apt,145,1,31,2022-10-09,0.28,1,181,5,,Bolognina
21,2099619,Casa Andrea APPARTAMENTO ESCLUSIVO,10708480,Pier Giuseppe,,Porto - Saragozza,44.49622,11.32639,Entire home/apt,73,2,211,2023-03-12,1.88,4,274,41,,Costa Saragozza
22,2112874,"Appartamento FIERA, SANT'ORSOLA, CENTRO",10772630,Federica,,San Donato - San Vitale,44.50074,11.37342,Entire home/apt,60,1,170,2020-02-09,1.53,1,0,0,,San Donato
23,2206704,Casa Luisa appartamento turistico,10708480,Pier Giuseppe,,Borgo Panigale - Reno,44.5063,11.30745,Entire home/apt,66,3,3,2022-09-30,0.03,4,334,1,,S. Viola
24,4290419,front fair apartment,12899123,Mariella,,San Donato - San Vitale,44.5108,11.37017,Entire home/apt,180,1,21,2020-12-24,0.21,9,230,0,,San Donato
25,4296228,Villa Alma Monolocale 2,22303074,Gianluca,,Santo Stefano,44.47909,11.33618,Entire home/apt,40,7,17,2019-11-10,0.17,2,0,0,227270,Colli
26,4314754,Oasis in Bologna,1174780,Anna,,Porto - Saragozza,44.50054,11.32568,Private room,100,1,74,2023-01-01,0.76,1,356,17,,Saffi
27,4349939,Villa Alma Monolocale 1,22303074,Gianluca,,Santo Stefano,44.47692,11.33671,Entire home/apt,45,3,23,2019-10-15,0.24,2,0,0,227270,Colli
28,4354364,TUTTO IL RESTO E' NOIA,22603528,Massimiliano,,Borgo Panigale - Reno,44.53131,11.27656,Entire home/apt,256,1,3,2017-03-20,0.03,1,365,0,,Borgo Panigale
29,4394039,SleepInBo - nella quiete e comodo,22809996,Antonio,,Porto - Saragozza,44.49569,11.32508,Entire home/apt,179,2,47,2023-03-08,0.46,1,195,7,,Costa Saragozza
30,2212785,APPARTAMENTO SOGGIORNI BREVI,10708480,Pier Giuseppe,,Borgo Panigale - Reno,44.50636,11.30745,Entire home/apt,66,2,11,2023-03-12,0.58,4,334,8,,S. Viola
31,2219937,Camera tranquilla-luminosa zona Ospedale Maggiore,11325267,Ines,,Porto - Saragozza,44.50372,11.30865,Private room,30,2,166,2023-03-01,1.5,1,142,30,,S. Viola
32,2250424,Casa Letizia TWO historic center long term welcome,9081398,Letizia,,Santo Stefano,44.493840000000006,11.34731,Entire home/apt,110,3,169,2023-03-09,2.54,2,83,26,P.334393,Irnerio
33,2256148,Arte & Ospitalità da Nonno EROS/ERA,11521610,Clio,,San Donato - San Vitale,44.504540000000006,11.376389999999999,Private room,29,1,120,2023-03-17,1.09,2,52,30,,San Donato
34,4433444,large colored and cosy double room,9418483,Silvana,,Porto - Saragozza,44.501670000000004,11.31972,Private room,48,2,12,2017-03-20,0.12,1,20,0,,Saffi
35,4471957,La Zucca B&B - Bologna,23172214,Luca,,Navile,44.51336,11.349219999999999,Private room,77,1,69,2023-03-07,0.71,1,325,24,,Bolognina
36,4510025,Central cosy room with private bathroom,18923034,Antonella,,Santo Stefano,44.49861,11.346969999999999,Private room,41,1,146,2023-02-25,1.44,1,0,30,,Irnerio
37,2273362,"Bijou House centro storico, free wi-fi, 2 Smart Tv",11606565,Cristina,,Santo Stefano,44.496986,11.349186999999999,Entire home/apt,169,4,19,2023-02-13,0.18,1,283,7,,Irnerio
38,4524306,"Elegante, silenzioso centrale 150MQ",23454525,Antonio,,Porto - Saragozza,44.49897,11.33745,Entire home/apt,180,6,41,2022-10-01,0.45,1,115,11,,Marconi
39,2280311,"""Behind Lumieré"" Big & Sunny room in Art District",11610405,Ilaria Silvia,,Porto - Saragozza,44.49868,11.33677,Private room,67,1,250,2023-02-17,2.76,4,48,25,,Marconi
40,2282623,"S.Orsola zone,parking for free and self check-in",11658074,Cecilia,,San Donato - San Vitale,44.49445,11.367172,Entire home/apt,48,1,832,2023-03-16,7.5,1,7,122,,S. Vitale
41,2329387,TONYS PLACE HOME HOLYDAYS BOLOGNA,11898231,Antonio,,Borgo Panigale - Reno,44.51725,11.27861,Entire home/apt,76,2,145,2023-03-13,1.31,1,108,54,PG 28338 del 30 / 01  / 2014,Borgo Panigale
42,2330299,AtHOME No35 - Queen,11901723,Julia,,Santo Stefano,44.5007,11.35106,Private room,100,1,4,2023-03-18,4.0,2,339,4,,Irnerio
43,4607961,La Piazzetta Apartment,21309878,Cinzia,,Santo Stefano,44.49989,11.34413,Entire home/apt,131,1,313,2023-01-29,3.11,3,123,53,,Marconi
44,4647054,CHARMING FLAT IN HISTORICAL CENTER,24058338,Mauro,,Porto - Saragozza,44.499390000000005,11.34116,Entire home/apt,1000,2,16,2017-07-05,0.16,1,0,0,,Marconi
45,4773350,A Bologna Cosy apartment,24620140,Lucia,,Porto - Saragozza,44.49093,11.33329,Entire home/apt,84,4,456,2023-02-27,4.54,1,23,38,,Malpighi
46,4791993,Casa Romagnoli,24697543,Fabio,,Santo Stefano,44.47525,11.36856,Entire home/apt,65,2,19,2016-10-16,0.19,1,0,0,,Murri
47,4800113,City center flat with hills view,24731709,Can Claro,,Santo Stefano,44.48083,11.33797,Entire home/apt,50,3,142,2020-08-10,1.45,1,107,0,,Colli
48,4813036,"""A Cà Mì"" in Centro a Bologna",24788923,Prisca,,Santo Stefano,44.49239,11.35322,Entire home/apt,80,3,108,2022-09-11,1.11,1,32,6,,Irnerio
49,4834186,Inside gates 12thcentury city wall,1897154,Raffaella,,Porto - Saragozza,44.495490000000004,11.33735,Entire home/apt,40,31,31,2022-10-08,0.31,1,19,3,,Marconi
50,4852502,Interno 1,24965035,Enrico,,Santo Stefano,44.49106,11.348460000000001,Entire home/apt,79,1,177,2023-01-08,1.82,2,0,11,,Galvani
51,2349486,IDEAL APT. IN BOLOGNA - CENTRE/FAIR,11997215,Andrea,,San Donato - San Vitale,44.506679999999996,11.35556,Entire home/apt,159,28,154,2022-09-27,1.4,3,1,7,,San Donato
52,2349787,Private room in quiet zone 2,9183683,Massimo,,Porto - Saragozza,44.49096,11.32767,Private room,35,2,113,2023-03-18,1.03,3,146,29,,Costa Saragozza
53,2349835,From Grandfather Arts & hospitality,11521610,Clio,,San Donato - San Vitale,44.50564,11.37775,Private room,27,1,119,2023-03-16,1.09,2,44,43,,San Donato
54,2359237,Appartamento DIDI,8888372,Lorenzo,,San Donato - San Vitale,44.489309999999996,11.37748,Entire home/apt,91,2,12,2023-03-07,1.96,1,255,12,,S. Vitale
55,2378587,Z8 Terra - Comfortable two bedrooms apartment,11890324,Silvia E Jacopo,,Santo Stefano,44.501881,11.351547,Entire home/apt,148,1,266,2023-01-07,2.42,14,36,41,,Irnerio
56,2409234,bungalow with two bedrooms,10565373,Michela Borghetto,,Borgo Panigale - Reno,44.5147,11.284989999999999,Entire home/apt,1441,1,97,2022-09-17,0.89,16,22,6,,Borgo Panigale
57,2423689,IN FIERA 8: elegant front fair,3858191,Ennio,,San Donato - San Vitale,44.5056,11.364139999999999,Entire home/apt,247,2,16,2022-10-29,0.16,3,256,5,482750,San Donato
58,2427429,modern loft with private garden,10565373,Michela Borghetto,,Borgo Panigale - Reno,44.51453,11.28531,Entire home/apt,1219,1,58,2020-11-18,0.53,16,140,0,,Borgo Panigale
59,2427567,indipendent and bright studio,10565373,Michela Borghetto,,Borgo Panigale - Reno,44.514520000000005,11.285160000000001,Entire home/apt,305,1,70,2022-10-07,0.64,16,143,3,,Borgo Panigale
60,4870519,B&B Acasamia: camera  1 BLU,4373635,B&B A Casa Mia,,Porto - Saragozza,44.49654,11.331380000000001,Private room,57,1,46,2023-03-09,0.48,4,298,31,,Malpighi
61,4902381,"TOP CENTRAL APARTMENT, 5 GUESTS",22199057,Augusto,,Porto - Saragozza,44.49565,11.334010000000001,Entire home/apt,50,1,85,2019-09-22,0.88,1,0,0,,Malpighi
62,4953647,A due passi - camera Luna,25533311,Piero,,Porto - Saragozza,44.495459999999994,11.33944,Private room,120,2,89,2023-03-13,0.98,2,217,34,,Marconi
63,5001023,Le statue-luxury open space-five stars suite,25736875,Simone,,Porto - Saragozza,44.498940000000005,11.34127,Entire home/apt,150,2,296,2023-03-10,3.04,1,278,50,,Marconi
64,5012513,"When the '500's Poetry ""Checked in""",25852274,Maria Chiara,,Porto - Saragozza,44.49272,11.340689999999999,Entire home/apt,87,2,277,2023-01-25,2.83,1,23,22,,Malpighi
65,2448735,House 15 min. from Bologna center,10565373,Michela Borghetto,,Borgo Panigale - Reno,44.51457,11.28426,Entire home/apt,1133,1,69,2022-10-25,0.67,16,126,1,,Borgo Panigale
66,2486018,Live in history: loft with frescos,12721393,Monella,,Porto - Saragozza,44.49889,11.33953,Entire home/apt,98,4,316,2023-03-05,2.89,1,328,36,,Marconi
67,5013391,A due passi - camera Sole,25533311,Piero,,Porto - Saragozza,44.49438,11.33973,Private room,120,2,63,2023-01-01,0.65,2,256,36,,Malpighi
68,204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,44.49105,11.33982,Private room,114,3,256,2022-10-31,1.82,2,13,7,,Malpighi
69,5033080,Ca' di Vale: uno scorcio sui tetti,25982140,Carlotta,,Porto - Saragozza,44.49258,11.33192,Entire home/apt,74,3,128,2023-03-09,1.36,1,149,10,,Malpighi
70,5035948,Bolognafieracentro,25996511,Amor,,San Donato - San Vitale,44.506809999999994,11.37364,Private room,53,1,50,2023-03-08,0.51,1,340,17,,San Donato
71,2531214,Bright and Peaceful Apartment in Historic Palazzo,6318533,Luca,,Santo Stefano,44.493359999999996,11.35294,Entire home/apt,139,2,427,2023-03-05,3.91,2,133,74,,Irnerio
72,2541104,silence and calm in the city center,10822606,Umberto,,Santo Stefano,44.48568,11.35544,Entire home/apt,80,4,19,2022-05-04,0.17,1,77,3,,Galvani
73,2542891,casa ridente: Bologna,13020512,Alessandra,,San Donato - San Vitale,44.49583,11.358889999999999,Private room,150,1,1,2022-05-15,0.1,1,351,1,,S. Vitale
74,2572332,Central Flat in the Greenery,13172321,Eleonora,,Santo Stefano,44.48746,11.332230000000001,Entire home/apt,81,2,176,2023-02-28,1.62,1,137,19,,Colli
75,2581354,stanza 1/2 zona fiera,12899123,Mariella,,San Donato - San Vitale,44.51064,11.36941,Private room,400,1,3,2018-06-23,0.03,9,233,0,,San Donato
76,2581424,room in front of the fair,12899123,Mariella,,San Donato - San Vitale,44.5108,11.37047,Private room,400,1,8,2022-10-14,0.07,9,261,1,,San Donato
77,2603387,centralissimo piazza Cavour ad.ze,3694938,Angela,,Santo Stefano,44.49131,11.34567,Entire home/apt,63,2,242,2023-03-15,2.38,1,253,47,,Galvani
78,2613237,Apartment in the Historical Centre of Bologna,7638519,Andy,,Santo Stefano,44.4983,11.34633,Entire home/apt,89,4,150,2023-01-01,1.41,1,141,7,,Irnerio
79,2704474,Appartamento Bologna Centro / Colli,13841663,Andrea,,Porto - Saragozza,44.4868,11.33866,Entire home/apt,85,3,44,2023-03-14,0.43,1,174,4,,Malpighi
80,5048949,Romantic apartment on the roof,1171778,Sofia,,Santo Stefano,44.49771,11.34966,Entire home/apt,150,2,291,2023-03-04,2.93,1,195,50,,Irnerio
81,5125479,Charming apartment in the center,26492441,Sabrina,,Porto - Saragozza,44.49344,11.335519999999999,Entire home/apt,121,2,87,2023-03-08,0.89,1,193,1,,Malpighi
82,5131580,Nina's Loft - a historical cellar,746109,Federica,,Porto - Saragozza,44.497032,11.333184,Entire home/apt,103,1,63,2023-03-10,5.69,2,308,63,P.G.N 87363/2022 in data 21/02/2022,Marconi
83,5229284,Charming Apartment in Old Town,27060471,Marco,,Porto - Saragozza,44.50363,11.33883,Entire home/apt,76,2,68,2023-03-18,0.71,1,112,18,,Marconi
84,5315089,Silent flat in central Bologna,27532595,Maria Grazia,,Porto - Saragozza,44.50059,11.3403,Entire home/apt,57,2,491,2023-03-08,5.07,1,174,96,,Marconi
85,5409715,"Accogliente Appartamento, cozy small apartment",13514296,Alessandra,,Porto - Saragozza,44.49596,11.32372,Entire home/apt,79,5,6,2023-01-02,0.07,1,312,2,,Costa Saragozza
86,5428240,LUXURY ATTIC WITH PRIVATE LIFT IN THE CITY CENTER,8412805,Carolina & Cristina,,Porto - Saragozza,44.490520000000004,11.337710000000001,Entire home/apt,314,2,247,2023-03-09,2.67,4,121,56,,Malpighi
87,5437583,affitto camera da letto matrimoniale,28208028,Maria,,Borgo Panigale - Reno,44.507979999999996,11.29775,Private room,65,1,74,2023-03-12,0.76,1,294,33,,S. Viola
88,5458272,HAPPY HOME BO FAIR Self Check-in FREE PARKING,28285881,Roberta & Mario,,San Donato - San Vitale,44.50335,11.36318,Entire home/apt,268,1,195,2023-02-26,2.01,2,111,39,,San Donato
89,5494749,Accogliente a due passi dal centro.,28493898,Christian,,Porto - Saragozza,44.49596,11.31663,Entire home/apt,55,1,116,2023-03-19,1.2,1,183,17,,Costa Saragozza
