id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year,month
1571942,Cozy apartment in a quiet area ,4594761,Sara,,Navile,4.451.812.533.760.760,113.395.112.631.543,Private room,30,2,38,24/03/18,0.66,1,363,june,2018
1577979,A room in Pasolini's house 2,467810,Eleonora,,Porto - Saragozza,4.449.174.725.728.440,11.333.682.198.346.500,Private room,28,1,153,15/05/18,2.61,3,364,june,2018
1588677,Cozy at Bologna's best location!,2345001,Gioia Y Demian,,Porto - Saragozza,44.494.826.102.077.600,11.331.627.305.717.700,Entire home/apt,55,2,73,18/05/18,1.26,1,242,june,2018
1591230,Camera Panorama 500mt da P.zza Maggiore,7441756,Raffaello,,Porto - Saragozza,44.497.155.433.697.300,1.133.725.417.669.080,Private room,87,1,2,22/12/17,0.15,1,69,june,2018
1615940,Big room in the center of Bologna!,8600689,Davide,,Santo Stefano,4.448.908.632.937.670,11.351.703.760.471.400,Private room,36,1,82,17/06/18,1.41,1,83,june,2018
1652826,Sunny and Spacious Apt out S.Felice,8408673,Alex,,Porto - Saragozza,4.449.844.039.249.560,11.322.176.286.856.200,Entire home/apt,30,2,34,25/01/18,0.59,1,181,june,2018
1653132,GetTheKey Boldrini Loft 6,8766716,GetTheKey,,Porto - Saragozza,4.450.479.721.113.190,11.342.648.247.778.400,Entire home/apt,85,3,3,31/10/14,0.05,7,358,june,2018
1659575,GetTheKey Boldrini Loft 3,8766716,GetTheKey,,Porto - Saragozza,4.450.564.304.303.370,11.340.750.963.793.000,Entire home/apt,84,3,2,09/08/17,0.08,7,334,june,2018
1659599,GetTheKey Boldrini Loft 4,8766716,GetTheKey,,Porto - Saragozza,4.450.297.535.057.930,11.343.246.204.226.700,Entire home/apt,90,3,3,08/06/18,0.06,7,357,june,2018
1659632,GetTheKey Boldrini Loft 5,8766716,GetTheKey,,Porto - Saragozza,44.504.054.096.792.100,11.341.010.734.663.300,Entire home/apt,68,3,2,30/07/17,0.10,7,350,june,2018
1676504,Sweet Wolf - historical centre Bo,3934207,Sandra,,Porto - Saragozza,4.449.644.246.536.420,11.342.199.670.052.400,Entire home/apt,45,2,38,15/04/18,0.67,2,353,june,2018
1702612,accogliente camera centro bologna,8947541,Lillo Carmine,,Santo Stefano,44.483.633.276.392.300,11.358.797.398.961.500,Private room,50,2,15,29/10/17,0.29,2,364,june,2018
1739565,Casa Letizia ONE city center mansion TWO TOWERS,9081398,Letizia,,Santo Stefano,4.449.316.168.952.360,1.134.779.647.664.370,Entire home/apt,75,3,166,28/06/18,2.90,3,221,june,2018
1744706,Private room in quiet zone,9183683,Massimo,,Porto - Saragozza,4.448.888.715.913.030,11.326.550.989.884.400,Private room,30,1,33,29/03/18,0.57,2,365,june,2018
1782703,A beautiful view on the old canal,9357589,Elena,,Santo Stefano,44.500.170.770.091.900,1.134.858.363.883.880,Entire home/apt,80,4,58,18/06/18,1.01,1,127,june,2018
1791860,Strategico centro fiera ospedale,9401144,Antonella,,San Donato - San Vitale,4.450.745.549.759.620,1.137.597.146.288.620,Entire home/apt,65,2,66,25/06/18,1.16,1,63,june,2018
1827439,LaCasadelBorgo nel cuore di Bologna,9561972,Angela,,Santo Stefano,445.002.998.325.305,11.347.956.484.376.900,Entire home/apt,80,2,77,18/06/18,1.41,1,260,june,2018
