,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,zone
2224,43906569,Rental unit in Bologna · ★3.90 · 1 bedroom · 1 bed · 1 bath,132464778,Welcome To Emilia Romagna & Marche!,,Santo Stefano,44.49837,11.34527,Entire home/apt,89,2,31,2023-05-12,0.93,73,339,8,037006-CV-00198,Irnerio
2225,43910510,Rental unit in Bologna · ★5.0 · 1 bedroom · 2 beds · 1 shared bath,46775145,Massimo,,Navile,44.51433,11.35172,Private room,35,2,17,2023-03-19,0.47,1,6,5,,Bolognina
2226,43920056,Rental unit in Bologna · ★4.99 · 1 bedroom · 3 beds · 1 bath,351639769,Armando,,San Donato - San Vitale,44.4935,11.36024,Entire home/apt,135,2,111,2023-06-17,3.12,1,67,50,037006-AT-02324,S. Vitale
2227,43926481,Rental unit in Bologna · ★4.63 · 1 bedroom · 2 beds · 1 bath,252148655,Filippo,,Porto - Saragozza,44.49631,11.33894,Entire home/apt,153,1,133,2023-04-15,3.73,2,256,37,,Marconi
2228,43952128,Guest suite in Bologna · ★4.20 · 1 bedroom · 2 beds · 1 private bath,402179238,Club Del Sole,,Navile,44.5245,11.377510000000001,Private room,129,1,20,2022-08-25,0.55,4,174,3,,Corticella
2229,43980762,Condo in Bologna · ★4.80 · Studio · 1 bed · 1 bath,327258630,Design Club Collection,,Porto - Saragozza,44.49884,11.34044,Entire home/apt,119,1,40,2023-06-07,1.12,37,356,19,,Marconi
2230,44011333,Rental unit in Bologna · ★4.75 · 2 bedrooms · 2 beds · 1 bath,300934729,Arianna,,Porto - Saragozza,44.4981,11.34079,Entire home/apt,117,1,4,2023-04-01,0.43,27,151,4,,Marconi
2231,44047095,Rental unit in Bologna · ★4.20 · 2 bedrooms · 4 beds · 1 bath,353092305,Mirko,,Santo Stefano,44.50073,11.35394,Entire home/apt,165,3,10,2022-08-15,0.28,1,48,2,,Irnerio
2232,44047690,Villa in Bologna · 5 bedrooms · 10 beds · 3.5 baths,216244849,Cinzia,,Navile,44.54784,11.35464,Entire home/apt,175,5,1,2020-10-25,0.03,5,20,0,,Corticella
2233,44047820,Rental unit in Bologna · ★5.0 · 1 bedroom · 2 beds · 1 bath,353103675,Ede,,Porto - Saragozza,44.495909999999995,11.34165,Entire home/apt,153,3,4,2020-11-15,0.11,1,38,0,,Marconi
