,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,zone
0,42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.48507,11.34786,Entire home/apt,71,3,195,2022-07-26,1.34,1,235,16,,Galvani
1,46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49168,11.335139999999999,Private room,31,1,331,2022-08-28,2.27,2,296,51,,Malpighi
2,85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47834,11.35672,Entire home/apt,120,2,40,2019-11-03,0.31,1,351,0,,Murri
3,125518,"quiet room, close to bus stop.",623988,Gabriella,,Porto - Saragozza,44.47665,11.28085,Entire home/apt,75,7,21,2017-05-26,0.16,1,330,0,,
4,145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.49306,11.337860000000001,Private room,70,7,71,2022-04-30,0.53,9,225,6,,Malpighi
5,204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,44.49105,11.33982,Private room,92,2,254,2022-06-20,1.89,1,3,5,,Malpighi
6,209692,a Bologna per vacanze e lavoro,1033461,Lelio,,Navile,44.51628,11.330739999999999,Private room,32,1,22,2021-11-08,0.38,3,256,2,,Lame
7,219878,Gorgeous Haven in Centro Storico,1139326,Elisa,,Santo Stefano,44.48787,11.35392,Entire home/apt,95,3,156,2022-08-03,1.18,2,39,17,,Galvani
8,229114,Terrace between fair&city center,1196205,Davide,,Navile,44.51072,11.34957,Entire home/apt,80,3,49,2022-09-12,0.41,1,125,17,,Bolognina
9,233922,Big and central studio open space,1224822,Antonella,,Porto - Saragozza,44.49589,11.32976,Entire home/apt,90,4,19,2018-07-02,0.17,1,321,0,,Malpighi
10,245295,dormire nel verde,1286718,Nicoletta,,Porto - Saragozza,44.4868,11.31471,Entire home/apt,79,3,8,2017-11-07,0.06,1,0,0,,Costa Saragozza
11,246747,Charming centro Bologna room with rooftop view,1294101,Giovanna,,Porto - Saragozza,44.49702,11.34291,Private room,68,2,32,2022-09-11,0.26,1,324,9,,Marconi
