,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,zone
0,42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.48507,11.34786,Entire home/apt,68,3,176,2021-04-06,1.53,3,285,2,,Galvani
1,46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49168,11.335139999999999,Private room,29,1,270,2020-02-16,2.73,2,0,11,,Malpighi
2,85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47834,11.35672,Entire home/apt,130,2,40,2016-05-16,0.43,1,341,0,,Murri
3,145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.49306,11.337860000000001,Private room,50,15,65,2019-05-20,0.64,9,365,2,,Malpighi
4,204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,44.49105,11.33982,Private room,47,2,249,2020-02-16,2.14,2,52,1,,Malpighi
5,207245,3 Bedrooms + Terrace Bologna Old Town Center,569422,Elizabeth,,Porto - Saragozza,44.492540000000005,11.34009,Entire home/apt,113,3,48,2019-08-03,0.53,2,0,2,,Malpighi
6,209692,a Bologna per vacanze e lavoro,1033461,Lelio,,Navile,44.51628,11.330739999999999,Private room,25,1,20,2019-08-31,0.47,3,232,1,,Lame
7,219878,Gorgeous Haven in Centro Storico,1139326,Eli,,Santo Stefano,44.48787,11.35392,Entire home/apt,85,3,138,2019-11-18,1.2,2,56,1,,Galvani
8,229114,Terrace between fair&city center,1196205,Davide,,Navile,44.51072,11.34957,Entire home/apt,64,3,29,2018-11-25,0.44,1,138,1,,Bolognina
9,233922,Big and central studio open space,1224822,Antonella,,Porto - Saragozza,44.49589,11.32976,Entire home/apt,60,4,19,2016-08-07,0.2,1,146,0,,Malpighi
10,246747,Charming centro Bologna room with rooftop view,1294101,Giovanna,,Porto - Saragozza,44.49702,11.34291,Private room,68,2,20,2019-03-20,0.18,1,364,0,,Marconi
11,266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,,Porto - Saragozza,44.49487,11.332410000000001,Entire home/apt,75,3,53,2014-11-08,0.62,1,251,0,,Malpighi
12,286691,"Sunny,Quiet Room Near Center/Fiera",1517686,Valerio,,Santo Stefano,44.47361,11.369769999999999,Private room,56,1,22,2019-03-20,0.2,1,0,0,,Murri
13,293536,Wonderful house in the heart of Bologna,1517643,Nicola,,Santo Stefano,44.49439,11.353710000000001,Entire home/apt,130,7,32,2019-05-29,0.32,1,331,0,,Irnerio
14,306910,Albiroli apartment-Piazza Maggiore,1578729,Giulio,,Santo Stefano,44.49555,11.3443,Entire home/apt,400,3,23,2018-04-08,1.05,1,234,0,,Irnerio
15,369531,independent room kitchen-bathroom,1863279,Caterina,,Savena,44.46817,11.377139999999999,Private room,50,3,31,2015-02-20,0.27,2,140,0,,S. Ruffillo
16,373095,A due passi da Piazza Maggiore,1877146,Giulio,,Porto - Saragozza,44.49745,11.33025,Entire home/apt,69,2,77,2019-10-17,0.69,5,46,0,,Malpighi
17,374090,Appartamento in pieno centro,1882258,Morena,,Porto - Saragozza,44.49548,11.330219999999999,Entire home/apt,250,2,214,2019-10-10,1.99,2,365,0,,Malpighi
18,374610,"Cozy studio ,WIFI,kitchen and bath!",1884566,Federico,,Santo Stefano,44.491279999999996,11.35617,Entire home/apt,51,2,85,2017-04-05,0.84,4,11,5,,Irnerio
19,376826,"Nice, Loft in the historic center",1877146,Giulio,,Porto - Saragozza,44.49564,11.33601,Entire home/apt,90,2,200,2018-10-04,1.87,5,330,2,,Marconi
