,Unnamed: 0,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zone
0,0,42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.48507,11.34786,Entire home/apt,68,3,173,2019-05-30,1.57,4,229,Galvani
1,1,46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49168,11.33514,Private room,29,1,236,2019-10-13,2.14,2,351,Malpighi
2,2,59697,BOLOGNA CENTRE RELAX & COMFORT,286688,Paolo,,Santo Stefano,44.48755,11.34058,Entire home/apt,70,1,224,2019-09-29,2.68,1,355,Galvani
3,3,70366,Fuoriporta,356310,Maria Ebe,,Porto - Saragozza,44.49699,11.32206,Entire home/apt,63,1,6,2018-12-07,0.09,1,336,Saffi
4,4,72319,AmaBologna Bed & Breakfast porticos,374533,Ersi,,Porto - Saragozza,44.48972,11.32072,Private room,36,3,32,2019-08-23,0.33,2,311,Costa Saragozza
5,5,72628,Studio Spagna 2,377010,Donatella,,Porto - Saragozza,44.49176,11.33918,Entire home/apt,132,1,22,2019-09-26,3.06,3,207,Malpighi
6,6,83173,Cosy and bright rooms in Bologna,453008,Fulvio,,Navile,44.51013,11.34316,Private room,26,90,70,2018-06-19,0.69,2,75,Bolognina
7,7,85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47834,11.35672,Entire home/apt,130,2,39,2019-10-13,0.42,1,355,Murri
8,8,130642,B&B Betta & Bologna,643133,Elisabetta,,Savena,44.46755,11.3889,Private room,50,2,25,2016-10-19,0.25,1,336,Mazzini
9,9,145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.4922,11.33727,Private room,40,3,61,2019-10-08,0.62,9,359,Malpighi
10,10,163336,Guesthouse Cartoleria - room 2,779753,Samantha,,Santo Stefano,44.48944,11.34848,Private room,35,1,93,2019-10-06,0.93,6,66,Galvani
11,11,168963,Two room apartment for holiday or business,805148,Giuseppina,,Navile,44.5209,11.31697,Entire home/apt,40,3,5,2019-09-19,0.06,1,362,Lame
12,12,184665,"Due doppie,piu' divano letto",885872,Giuliana,,Santo Stefano,44.50189,11.35031,Private room,33,1,7,2015-07-27,0.13,2,356,Irnerio
13,13,204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,44.49105,11.33982,Private room,50,2,238,2019-09-28,2.41,2,75,Malpighi
14,14,207245,3 Bedrooms + Terrace Bologna Old Town Center,569422,Elizabeth,,Porto - Saragozza,44.49254000000001,11.34009,Entire home/apt,110,5,45,2019-08-28,0.51,2,24,Malpighi
15,15,209692,a Bologna per vacanze e lavoro ,1033461,Lelio,,Navile,44.51628,11.33074,Private room,25,1,19,2019-09-06,0.87,3,289,Lame
16,16,214615,due doppie  Mascarella,885872,Giuliana,,Santo Stefano,44.50172,11.35047,Private room,33,1,4,2016-03-05,0.08,2,358,Irnerio
17,17,219878,Gorgeous Haven in Centro Storico,1139326,Eli,,Santo Stefano,44.48677,11.35494,Entire home/apt,85,3,135,2019-10-07,1.39,2,123,Galvani
18,18,228124,"Self Check-In Apartment ""da Carlo e Alice""",1189801,Michela,,San Donato - San Vitale,44.50461,11.36924,Entire home/apt,48,2,162,2019-10-13,2.4,1,40,San Donato
19,19,228628,"room in luxurious penthouse,centre",1193466,Luca,,Porto - Saragozza,44.49585,11.33838,Private room,66,2,98,2019-05-28,1.13,1,350,Marconi
20,20,229114,Terrace between fair&city center,1196205,Davide,,Navile,44.51163,11.34916,Entire home/apt,64,3,27,2019-10-06,0.32,1,109,Bolognina
21,21,233922,Big and central studio open space,1224822,Antonella,,Porto - Saragozza,44.49589,11.32976,Entire home/apt,80,4,19,2018-07-02,0.26,1,334,Malpighi
22,22,246747,Charming centro Bologna room with rooftop view,1294101,Giovanna,,Porto - Saragozza,44.49702,11.34291,Private room,68,2,19,2019-04-04,0.22,1,363,Marconi
23,23,250686,Guesthouse Cartoleria - room 4,779753,Samantha,,Santo Stefano,44.48858,11.34782,Private room,40,1,119,2019-10-11,1.31,6,64,Galvani
24,24,266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,,Porto - Saragozza,44.49487,11.33241,Entire home/apt,85,3,52,2019-08-30,0.56,1,281,Malpighi
25,25,273713,pleasant bedroom in Bologna centre,1432012,Gianluca,,Porto - Saragozza,44.49517,11.33964,Private room,60,2,26,2019-04-13,0.47,1,358,Marconi
26,26,286691,"Sunny,Quiet Room Near Center/Fiera ",1517686,Valerio,,Santo Stefano,44.47361,11.36977,Private room,50,1,21,2019-03-20,0.24,1,365,Murri
27,27,293536,Wonderful house in the heart of Bologna,1517643,Nicola,,Santo Stefano,44.49439,11.35371,Entire home/apt,130,7,33,2019-09-27,0.36,1,181,Irnerio
28,28,306910,Albiroli apartment-Piazza Maggiore,1578729,Giulio,,Santo Stefano,44.49555,11.3443,Entire home/apt,150,3,22,2019-03-08,0.24,1,331,Irnerio
29,29,309169,New Fresco Suite   in historic centre,184487,Carlo,,Santo Stefano,44.48563,11.34797,Private room,100,1,70,2019-03-18,0.88,4,0,Galvani
30,30,359045,Elegante Mansarda - BOLOGNA CENTRO,1817171,Francesca,,Santo Stefano,44.49512,11.35045,Entire home/apt,55,7,65,2019-10-05,0.73,1,129,Irnerio
31,31,372605,Graziosa casetta monolocale in Bologna,1875532,Antonella,,Santo Stefano,44.47758,11.34798,Entire home/apt,70,2,11,2019-09-29,0.4,1,307,Colli
32,32,372849,Apartment Pietro's (center city),1876282,Doriana E Pietro,,Santo Stefano,44.49242,11.35593,Entire home/apt,55,2,52,2019-10-05,0.72,2,239,Irnerio
33,33,373095,A due passi da Piazza Maggiore,1877146,Giulio,,Porto - Saragozza,44.49646,11.33054,Entire home/apt,69,2,75,2019-09-29,0.84,5,33,Malpighi
34,34,374090,Appartamento in pieno centro,1882258,Morena,,Porto - Saragozza,44.49462,11.33088,Entire home/apt,100,2,210,2019-10-10,2.31,2,284,Malpighi
35,35,374610,"Cozy studio ,WIFI,kitchen and bath!",1884566,Federico,,Santo Stefano,44.49128,11.35617,Entire home/apt,51,2,76,2019-06-21,0.94,4,347,Irnerio
36,36,376826,"Nice, Loft in the historic center",1877146,Giulio,,Porto - Saragozza,44.49603,11.33676,Entire home/apt,90,2,198,2019-09-22,2.18,5,242,Marconi
37,37,383256,Apartment Open Space on two floor!,1884566,Federico,,Porto - Saragozza,44.50103,11.34218,Entire home/apt,75,2,157,2019-09-26,1.71,4,204,Marconi
38,38,411523,Melograno's house downtown Bologna,2048622,Irene,,Santo Stefano,44.49395,11.35397,Entire home/apt,80,3,92,2019-10-06,1.2,3,318,Irnerio
39,39,428387,Casa Nobili,675980,Giuseppe,,Santo Stefano,44.49271,11.3449,Entire home/apt,57,2,456,2019-10-13,5.3,1,216,Galvani
40,40,434123,La valigia italiana,2157833,Grazia,,San Donato - San Vitale,44.48593,11.36841,Private room,30,2,85,2019-10-07,0.94,1,143,S. Vitale
41,41,434796,"BELLA RESINA,zona FIERA tangenziale",2160085,Claudia,,San Donato - San Vitale,44.52134,11.38173,Private room,100,2,11,2018-09-27,0.13,1,365,San Donato
42,42,442819,apartment near down town,2200704,Gianmassimo,,Porto - Saragozza,44.49583,11.31676,Private room,40,1,101,2019-10-14,1.13,1,0,Costa Saragozza
43,43,447120,Green area ten minutes from downtow,2219894,Stefania,,Savena,44.46936,11.38413,Private room,48,1,10,2018-03-16,0.12,1,289,Mazzini
44,44,496906,charming studio in the old town,2453897,Alessandro,,Porto - Saragozza,44.49032,11.33749,Entire home/apt,65,2,4,2019-07-21,0.06,2,172,Malpighi
45,45,510771,"BOLOGNA CITY, NEAR FAIR AND AIRPORT",2516628,Coach Maurizio Salamina,,Borgo Panigale - Reno,44.49596,11.2911,Private room,100,1,52,2016-01-02,0.6,1,0,Barca
46,46,524880,Petronio's house in the heart of Bo,2048622,Irene,,Santo Stefano,44.48855,11.35387,Entire home/apt,60,3,118,2019-09-26,1.34,3,345,Galvani
47,47,531700,2 Torri Historical Center ♥ Ideal Family & Friends,2613427,Caterina,,Santo Stefano,44.49361,11.34889,Entire home/apt,56,2,305,2019-10-17,3.51,1,278,Irnerio
