id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.48507,11.34786,Entire home/apt,68,3,174,2020-01-03,1.52,5,105
46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49168,11.33514,Private room,29,1,255,2020-02-16,2.23,2,339
59697,BOLOGNA CENTRE RELAX & COMFORT,286688,Paolo,,Santo Stefano,44.48817,11.34124,Entire home/apt,70,1,239,2020-01-12,2.72,1,201
70366,Fuoriporta,356310,Maria Ebe,,Porto - Saragozza,44.49699,11.32206,Entire home/apt,63,1,6,2018-12-07,0.08,1,335
72628,Studio Spagna 2,377010,Donatella,,Porto - Saragozza,44.49088,11.3384,Entire home/apt,40,1,25,2020-01-29,2.20,3,343
85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47834,11.35672,Entire home/apt,130,2,40,2019-11-03,0.41,1,356
130642,B&B Betta & Bologna,643133,Elisabetta,,Savena,44.46817,11.39,Private room,50,2,28,2019-12-02,0.27,2,340
145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.49306,11.33786,Private room,40,3,63,2019-12-31,0.61,9,232
163336,Guesthouse Cartoleria - room 2,779753,Samantha,,Santo Stefano,44.48944,11.34848,Private room,35,1,96,2020-02-16,0.92,6,118
204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,44.49105,11.33982,Private room,51,2,246,2019-11-24,2.39,2,74
207245,3 Bedrooms + Terrace Bologna Old Town Center,569422,Elizabeth,,Porto - Saragozza,44.49254,11.34009,Entire home/apt,110,4,46,2020-01-04,0.50,2,61
209692,a Bologna per vacanze e lavoro ,1033461,Lelio,,Navile,44.51628,11.33074,Private room,25,1,19,2019-09-06,0.73,3,49
219878,Gorgeous Haven in Centro Storico,1139326,Eli,,Santo Stefano,44.48787,11.35392,Entire home/apt,89,3,137,2020-01-02,1.35,2,1
229114,Terrace between fair&city center,1196205,Davide,,Navile,44.51072,11.34957,Entire home/apt,64,3,28,2019-12-01,0.31,1,130
233922,Big and central studio open space,1224822,Antonella,,Porto - Saragozza,44.49589,11.32976,Entire home/apt,80,4,19,2018-07-02,0.24,1,319
245295,dormire nel verde,1286718,Nicoletta,,Porto - Saragozza,44.4868,11.31471,Entire home/apt,74,3,8,2017-11-07,0.08,3,276
246747,Charming centro Bologna room with rooftop view,1294101,Giovanna,,Porto - Saragozza,44.49702,11.34291,Private room,68,2,20,2020-01-01,0.22,1,336
250686,Guesthouse Cartoleria - room 4,779753,Samantha,,Santo Stefano,44.48858,11.34782,Private room,40,1,128,2020-01-26,1.35,6,119
266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,,Porto - Saragozza,44.49487,11.33241,Entire home/apt,85,3,52,2019-08-30,0.54,1,234
273713,pleasant bedroom in Bologna centre,1432012,Gianluca,,Porto - Saragozza,44.49517,11.33964,Private room,60,2,26,2019-04-13,0.43,1,338
286691,"Sunny,Quiet Room Near Center/Fiera ",1517686,Valerio,,Santo Stefano,44.47361,11.36977,Private room,50,1,21,2019-03-20,0.23,1,306
293536,Wonderful house in the heart of Bologna,1517643,Nicola,,Santo Stefano,44.49439,11.35371,Entire home/apt,130,7,34,2019-10-20,0.36,1,320
