,Unnamed: 0,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zone
0,0,42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.48507,11.34786,Entire home/apt,68,3,173,2019-05-30,1.54,4,252,Galvani
1,1,46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49168,11.33514,Private room,29,1,247,2019-12-01,2.2,2,349,Malpighi
2,2,59697,BOLOGNA CENTRE RELAX & COMFORT,286688,Paolo,,Santo Stefano,44.48755,11.34058,Entire home/apt,70,1,236,2019-12-01,2.76,1,174,Galvani
3,3,70366,Fuoriporta,356310,Maria Ebe,,Porto - Saragozza,44.49699,11.32206,Entire home/apt,63,1,6,2018-12-07,0.09,1,348,Saffi
4,4,72319,AmaBologna Bed & Breakfast porticos,374533,Ersi,,Porto - Saragozza,44.48972,11.32072,Private room,36,3,32,2019-08-23,0.32,2,358,Costa Saragozza
5,5,72628,Studio Spagna 2,377010,Donatella,,Porto - Saragozza,44.49176,11.33918,Entire home/apt,40,1,24,2019-10-27,2.64,3,255,Malpighi
6,6,85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47834,11.35672,Entire home/apt,130,2,40,2019-11-03,0.42,1,330,Murri
7,7,130642,B&B Betta & Bologna,643133,Elisabetta,,Savena,44.46755,11.3889,Private room,50,2,28,2019-12-02,0.27,1,351,Mazzini
8,8,145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.4922,11.33727,Private room,40,3,62,2019-11-03,0.62,9,362,Malpighi
9,9,163336,Guesthouse Cartoleria - room 2,779753,Samantha,,Santo Stefano,44.48944,11.34848,Private room,35,1,94,2019-11-02,0.92,6,15,Galvani
10,10,204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,44.49105,11.33982,Private room,49,2,246,2019-11-24,2.45,2,81,Malpighi
11,11,207245,3 Bedrooms + Terrace Bologna Old Town Center,569422,Elizabeth,,Porto - Saragozza,44.49254000000001,11.34009,Entire home/apt,110,4,45,2019-08-28,0.5,2,9,Malpighi
12,12,209692,a Bologna per vacanze e lavoro ,1033461,Lelio,,Navile,44.51628,11.33074,Private room,25,1,19,2019-09-06,0.8,3,1,Lame
13,13,219878,Gorgeous Haven in Centro Storico,1139326,Eli,,Santo Stefano,44.48677,11.35494,Entire home/apt,89,3,136,2019-11-18,1.37,2,74,Galvani
14,14,228628,"room in luxurious penthouse,centre",1193466,Luca,,Porto - Saragozza,44.49585,11.33838,Private room,66,2,102,2019-11-10,1.15,1,338,Marconi
15,15,229114,Terrace between fair&city center,1196205,Davide,,Navile,44.51163,11.34916,Entire home/apt,64,3,28,2019-12-01,0.32,1,116,Bolognina
16,16,233922,Big and central studio open space,1224822,Antonella,,Porto - Saragozza,44.49589,11.32976,Entire home/apt,80,4,19,2018-07-02,0.25,1,327,Malpighi
17,17,246747,Charming centro Bologna room with rooftop view,1294101,Giovanna,,Porto - Saragozza,44.49702,11.34291,Private room,68,2,19,2019-04-04,0.22,1,340,Marconi
18,18,250686,Guesthouse Cartoleria - room 4,779753,Samantha,,Santo Stefano,44.48858,11.34782,Private room,40,1,124,2019-12-07,1.34,6,16,Galvani
19,19,266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,,Porto - Saragozza,44.49487,11.33241,Entire home/apt,85,3,52,2019-08-30,0.55,1,259,Malpighi
20,20,273713,pleasant bedroom in Bologna centre,1432012,Gianluca,,Porto - Saragozza,44.49517,11.33964,Private room,60,2,26,2019-04-13,0.45,1,355,Marconi
21,21,286691,"Sunny,Quiet Room Near Center/Fiera ",1517686,Valerio,,Santo Stefano,44.47361,11.36977,Private room,50,1,21,2019-03-20,0.23,1,365,Murri
22,22,293536,Wonderful house in the heart of Bologna,1517643,Nicola,,Santo Stefano,44.49439,11.35371,Entire home/apt,130,7,34,2019-10-20,0.37,1,190,Irnerio
23,23,306910,Albiroli apartment-Piazza Maggiore,1578729,Giulio,,Santo Stefano,44.49555,11.3443,Entire home/apt,150,3,23,2019-11-04,0.24,1,348,Irnerio
24,24,309169,New Fresco Suite   in historic centre,184487,Carlo,,Santo Stefano,44.48563,11.34797,Private room,100,1,70,2019-03-18,0.86,4,0,Galvani
25,25,359045,Elegante Mansarda - BOLOGNA CENTRO,1817171,Francesca,,Santo Stefano,44.49512,11.35045,Entire home/apt,55,7,66,2019-11-17,0.73,1,157,Irnerio
26,26,372605,Graziosa casetta monolocale in Bologna,1875532,Antonella,,Santo Stefano,44.47758,11.34798,Entire home/apt,70,2,12,2019-12-10,0.41,1,273,Colli
27,27,372849,Apartment Pietro's (center city),1876282,Doriana E Pietro,,Santo Stefano,44.49242,11.35593,Entire home/apt,55,2,52,2019-10-05,0.7,2,206,Irnerio
28,28,373095,A due passi da Piazza Maggiore,1877146,Giulio,,Porto - Saragozza,44.49646,11.33054,Entire home/apt,69,2,76,2019-10-17,0.83,5,51,Malpighi
29,29,374090,Appartamento in pieno centro,1882258,Morena,,Porto - Saragozza,44.49462,11.33088,Entire home/apt,100,2,214,2019-11-04,2.31,2,271,Malpighi
30,30,374610,"Cozy studio ,WIFI,kitchen and bath!",1884566,Federico,,Santo Stefano,44.49128,11.35617,Entire home/apt,51,2,76,2019-06-21,0.92,4,352,Irnerio
31,31,376826,"Nice, Loft in the historic center",1877146,Giulio,,Porto - Saragozza,44.49603,11.33676,Entire home/apt,90,2,198,2019-09-22,2.14,5,227,Marconi
32,32,383256,Apartment Open Space on two floor!,1884566,Federico,,Porto - Saragozza,44.50103,11.34218,Entire home/apt,75,2,159,2019-10-18,1.7,4,153,Marconi
33,33,388886,Room 10min from city center and airport,1945715,Andrea,,Navile,44.52427,11.3142,Private room,30,2,11,2018-11-18,0.12,1,315,Lame
34,34,411523,Melograno's house downtown Bologna,2048622,Irene,,Santo Stefano,44.49395,11.35397,Entire home/apt,80,3,93,2019-11-10,1.19,3,335,Irnerio
