id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,march,2019
31679224,Garden View CityCenter Self Check-in Wifi,9917427,Barbara,,San Donato - San Vitale,4.449.279,1.136.728,Entire home/apt,47,1,0,,,2,74,march,2019
31681565,lucy's home,16555573,Lucia,,Santo Stefano,4.448.791,1.135.394,Entire home/apt,60,2,0,,,1,153,march,2019
31684607,Santo Stefano Home,16701018,Elena,,Santo Stefano,4.448.985,1.135.012,Entire home/apt,60,2,0,,,1,74,march,2019
31685024,#NOME?,237593244,Flavio E Stefano,,Porto - Saragozza,4.448.946,113.394,Private room,80,3,0,,,2,164,march,2019
31685129,Stanza singola in caratteristico appartamento,26408779,Lucia,,Porto - Saragozza,4.449.107,1.133.601,Private room,35,1,4,24/02/19,3.75,3,30,march,2019
31687431,Monolocale Delle Moline - Delle Moline apartment,237616143,Anna,,Santo Stefano,4.449.786,1.134.649,Entire home/apt,60,2,4,03/03/19,3.75,1,1,march,2019
31701306,Accogliente stanza privata,123733565,Cristina,,San Donato - San Vitale,4.450.302,1.136.307,Private room,45,1,2,17/02/19,2,1,357,march,2019
31705398,Appartement de charme terrasse plein centre,237793059,Tanja,,Santo Stefano,4.450.077,1.134.806,Entire home/apt,70,2,0,,,2,196,march,2019
31705429,Ampia singola tra aeroporto e centro,639874,Tiziana,,Porto - Saragozza,4.450.285,1.130.973,Private room,200,1,0,,,1,205,march,2019
31706757,Confortable music house -S.Orsola,8827343,Gloria,,Santo Stefano,4.448.801,1.136.405,Entire home/apt,200,2,0,,,1,3,march,2019
31707644,Accogliente trilocale a Bologna con studio,17855782,Francesco,,Porto - Saragozza,445.021,1.133.371,Entire home/apt,68,5,0,,,2,67,march,2019
31722679,Down town in bologna near san luca,237963420,Ignazio,,Borgo Panigale - Reno,444.914,1.129.906,Private room,29,1,5,18/02/19,3.41,2,74,march,2019
31723892,Villa Gotti Charming Rooms - 900 -,235706546,Jose R.,,Santo Stefano,444.811,1.134.648,Private room,70,1,1,17/02/19,1,5,285,march,2019
31724710,Villa Gotti Charming Rooms - Déco -,235706546,Jose R.,,Santo Stefano,4.448.098,1.134.744,Private room,70,1,0,,,5,301,march,2019
31724882,Villa Gotti Charming Rooms - Colli -,235706546,Jose R.,,Santo Stefano,4.447.953,1.134.763,Private room,70,1,0,,,5,309,march,2019
31724963,Villa Gotti Charming Rooms - 1933 -,235706546,Jose R.,,Santo Stefano,4.447.962,1.134.631,Private room,70,1,0,,,5,287,march,2019
31725052,Villa Gotti Charming Rooms - Suite Villa Gotti -,235706546,Jose R.,,Santo Stefano,444.788,1.134.808,Private room,100,1,0,,,5,323,march,2019
31739025,Marconi Industrial Suite Apartment Bologna Centro,238054034,Vincenzo,,Porto - Saragozza,4.449.502,1.133.722,Entire home/apt,65,1,0,,,3,116,march,2019
31739502,NEW! Downtown romantic studio,238037452,Simona,,Porto - Saragozza,4.449.391,1.133.489,Entire home/apt,39,2,0,,,1,309,march,2019
31749116,2 Fratelli Tourist House Bologna City Center,238100512,Luca E Mattia,,Santo Stefano,4.449.709,1.134.704,Entire home/apt,60,2,5,04/03/19,4.41,1,101,march,2019
31761162,RESIDENZA RE' CARLO,238146142,Gaetano,,Santo Stefano,4.448.489,1.135.518,Entire home/apt,57,1,0,,,1,5,march,2019
31761901,Delightful private room in bologna,237963420,Ignazio,,Borgo Panigale - Reno,4.449.203,1.130.053,Private room,29,1,5,26/02/19,3.75,2,164,march,2019
31776671,Good Time in Bologna,238222512,Stefano,,Porto - Saragozza,4.449.859,1.133.918,Entire home/apt,230,2,0,,,1,70,march,2019
31776684,Casa di DORA nel centro storico,238226400,Silvia,,Porto - Saragozza,4.449.513,1.132.818,Entire home/apt,50,2,7,03/03/19,5.25,1,189,march,2019
31788612,Stanza con bagno in comune Bologna,12182373,Luca,,Porto - Saragozza,4.449.349,113.344,Private room,43,1,0,,,30,17,march,2019
31790977,Stanza con bagno privato esterno Bologna,12182373,Luca,,Porto - Saragozza,4.449.301,1.133.456,Private room,48,1,1,18/02/19,1,30,107,march,2019
31798282,Casa a pochi passi dal centro,79434757,Simone,,San Donato - San Vitale,4.450.188,1.136.203,Private room,18,1,9,02/03/19,6.59,1,67,march,2019
31823508,Zen House...even for 4-legged friends!,238494724,Zen,,Navile,4.451.468,1.134.652,Entire home/apt,58,1,0,,,1,355,march,2019
31845168,Marconi - Ocean Suite Apartment - Bologna Centro,238054034,Vincenzo,,Porto - Saragozza,4.449.714,1.133.605,Entire home/apt,65,1,1,17/02/19,1,3,117,march,2019
31845434,Marconi - Gold Suite Apartment - Bologna Centro,238054034,Vincenzo,,Porto - Saragozza,4.449.582,1.133.615,Entire home/apt,55,1,1,14/02/19,1,3,118,march,2019
31849378,"UGO BASSI APARTMENTS - Appartamento ""I Tetti""",137475943,Crea,,Porto - Saragozza,4.449.641,1.133.825,Entire home/apt,90,1,2,25/02/19,2,5,287,march,2019
31849671,Stylish flat with balcony close to Central Station,89067449,Marco,,Porto - Saragozza,4.450.501,113.413,Entire home/apt,60,2,1,10/02/19,1,16,65,march,2019
31850562,Residence Cavour Luxury,238692702,Francesco,,Porto - Saragozza,445.035,1.133.908,Private room,70,1,0,,,1,158,march,2019
31873720,Blu Marlin apartment,8188283,Alessandro,,Santo Stefano,445.003,1.134.958,Entire home/apt,89,1,4,05/03/19,4,20,318,march,2019
