id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location,
9621822,1179,49775125,Private room,,Bologna,,Santo Stefano,23,5,2,1,,50,,Stanza luminosa centrale,2017-04-30 22:55:27.425463,44.496732,11.354214,0101000020E6100000199293895BB52640377007EA943F4640,
15383151,1179,97927104,Private room,,Bologna,,Porto - Saragozza,3,5,2,1,,50,,"B&b Maglò centro Bologna, doppia",2017-04-30 22:55:27.422440,44.505286,11.340176,0101000020E6100000A8C4758C2BAE264036902E36AD404640,
17365319,1179,117334270,Private room,,Bologna,,Borgo Panigale - Reno,4,4.5,2,1,,45,,Matrimoniale con bagno privato!!!,2017-04-30 22:55:27.403611,44.505068,11.30322,0101000020E61000007AFCDEA63F9B2640C9207711A6404640,
15365545,1179,97927104,Private room,,Bologna,,Porto - Saragozza,9,4.5,3,1,,50,,"B&b Maglò Centro Bologna, tripla",2017-04-30 22:55:27.398069,44.503884,11.339847,0101000020E610000095490D6D00AE2640247D5A457F404640,
1207685,1179,5581314,Private room,,Bologna,,Porto - Saragozza,83,4.5,2,1,,42,,Cosy and lovely central attic!,2017-04-30 22:55:27.392483,44.495089,11.33241,0101000020E61000000ABABDA431AA2640FFCD8B135F3F4640,
14921884,1179,59886090,Private room,,Bologna,,San Donato - San Vitale,4,5,1,1,,45,,stanza grande in una splendida casa,2017-04-30 22:55:26.045825,44.489684,11.373562,0101000020E6100000840EBA8443BF2640EEAF1EF7AD3E4640,
15925553,1179,103324743,Private room,,Bologna,,Santo Stefano,6,5,3,1,,45,,Room in apt in the center of Bologna:Aquattropassi,2017-04-30 22:55:26.039081,44.497718,11.345408,0101000020E6100000B58D3F51D9B02640B5503239B53F4640,
4345910,1179,22561061,Private room,,Bologna,,Porto - Saragozza,48,5,2,1,,49,,La cameretta,2017-04-30 22:55:26.035521,44.494907,11.320644,0101000020E610000037514B732BA42640DEC7D11C593F4640,
14955712,1179,49775125,Private room,,Bologna,,Santo Stefano,4,5,2,1,,50,,stanza presso università,2017-04-30 22:55:26.026932,44.49606,11.353702,0101000020E6100000410FB56D18B52640486DE2E47E3F4640,
6478631,1179,33796853,Private room,,Bologna,,Porto - Saragozza,45,5,2,1,,56,,"Ensuite double room, Bologna center",2017-04-30 22:55:26.018803,44.497787,11.337299,0101000020E61000006FF25B74B2AC2640DEAF027CB73F4640,
2768706,1179,14159056,Private room,,Bologna,,Santo Stefano,5,4.5,2,1,,61,,B&B Le Stanze del Carro - Adami,2017-04-30 22:55:26.012457,44.496092,11.346276,0101000020E610000086C77E164BB1264053E751F17F3F4640,
15234753,1179,96564580,Private room,,Bologna,,Santo Stefano,7,4.5,2,1,,56,,Big room with wooden floor in ancient building,2017-04-30 22:55:26.009394,44.486977,11.3533,0101000020E6100000865AD3BCE3B42640BD732843553E4640,
13074115,1179,22525552,Private room,,Bologna,,Santo Stefano,3,3.5,1,1,,50,,Room in the city center- Bologna- Stanza in centro,2017-04-30 22:55:25.999895,44.485865,11.340362,0101000020E6100000319A95ED43AE2640B1A206D3303E4640,
5962757,1179,30954849,Private room,,Bologna,,Porto - Saragozza,90,4.5,2,1,,56,,Stanze doppie nel centro di Bologna,2017-04-30 22:55:25.994458,44.497536,11.343315,0101000020E6100000D673D2FBC6AF2640944A7842AF3F4640,
14724136,1179,13744967,Private room,,Bologna,,Santo Stefano,4,4,2,1,,60,,BxB at Giardini Margherita,2017-04-30 22:55:25.989635,44.485666,11.357407,0101000020E610000013B9E00CFEB62640BB63B14D2A3E4640,
369531,1179,1863279,Private room,,Bologna,,Savena,28,4.5,2,1,,56,,independent room kitchen-bathroom ,2017-04-30 22:55:25.985538,44.46817,11.377137,0101000020E61000001D39D21918C12640F27B9BFEEC3B4640,
7559758,1179,39621920,Private room,,Bologna,,Porto - Saragozza,8,4,2,1,,45,,"Double/triple Room a BnB""#Bononia""",2017-04-30 22:55:24.520353,44.490046,11.319138,0101000020E61000005BD2510E66A326408FC4CBD3B93E4640,
5777479,1179,3155236,Private room,,Bologna,,Santo Stefano,61,4.5,1,1,,45,,Cozy room in the heart of Bologna,2017-04-30 22:55:24.477885,44.487797,11.347232,0101000020E6100000D53F8864C8B12640200BD121703E4640,
15140705,1179,15078654,Private room,,Bologna,,Santo Stefano,6,4.5,2,1,,45,,Sweet Room in Historical Bologna Centre,2017-04-30 22:55:24.474912,44.489937,11.34818,0101000020E6100000183E22A644B22640D80C7041B63E4640,
724499,1179,184487,Private room,,Bologna,,Santo Stefano,26,5,1,1,,45,,Cozy single room in historic centre,2017-04-30 22:55:23.078798,44.486983,11.348943,0101000020E610000015562AA8A8B226409F5A7D75553E4640,
7858288,1179,2179522,Private room,,Bologna,,Santo Stefano,120,4.5,3,1,,48,,doubleroom in the nicest  street!,2017-04-30 22:55:23.066349,44.490577,11.3426,0101000020E61000001D38674469AF2640BC95253ACB3E4640,
15159163,1179,96175994,Private room,,Bologna,,Porto - Saragozza,9,5,2,1,,45,,Chill Out B&B 1925 Double Room,2017-04-30 22:55:23.062426,44.493743,11.320909,0101000020E6100000F0FB372F4EA4264081D07AF8323F4640,
15387366,1179,96672304,Private room,,Bologna,,Savena,5,5,2,1,,50,,Room with private bathroom on the Bologna hills!,2017-04-30 22:55:23.056675,44.461369,11.356133,0101000020E6100000800D881057B62640B131AF230E3B4640,
434123,1179,2157833,Private room,,Bologna,,San Donato - San Vitale,58,4.5,1,1,,47,,La valigia italiana,2017-04-30 22:55:23.036732,44.485929,11.368408,0101000020E6100000672B2FF99FBC2640C896E5EB323E4640,
1406773,1179,7589011,Private room,,Bologna,,Porto - Saragozza,49,4.5,3,1,,50,,Stanza blu,2017-04-30 22:55:23.030822,44.500208,11.322722,0101000020E6100000416667D13BA526404A99D4D006404640,
17818135,1179,12119751,Private room,,Bologna,,Santo Stefano,11,4.5,2,1,,50,,Ampia stanza in quartiere Santo Stefano,2017-04-30 22:55:23.026508,44.490686,11.351029,0101000020E61000002AE5B512BAB32640724D81CCCE3E4640,
3714652,1179,18960119,Private room,,Bologna,,Porto - Saragozza,31,5,2,1,,45,,Tipica casa anni '20 pietra a vista,2017-04-30 22:55:23.023872,44.49317,11.325965,0101000020E610000002486DE2E4A6264025AFCE31203F4640,
16511578,1179,2459989,Private room,,Bologna,,Santo Stefano,22,4.5,2,1,,52,,Vintage BO B&B,2017-04-30 22:55:21.290900,44.498052,11.349783,0101000020E6100000BF64E3C116B326408CDAFD2AC03F4640,
16183211,1179,2459989,Private room,,Bologna,,Santo Stefano,18,4.5,4,1,,62,,Room&breakfast for up to 4 people,2017-04-30 22:55:21.284307,44.498203,11.349728,0101000020E6100000B1FD648C0FB3264071E2AB1DC53F4640,
2280311,1179,11610405,Private room,,Bologna,,Porto - Saragozza,84,5,4,1,,50,,"""Behind Lumieré"" Big & Sunny room in Art District",2017-04-30 22:55:21.279972,44.497636,11.336288,0101000020E61000001213D4F02DAC2640F8A75489B23F4640,
10485955,1179,30830702,Private room,,Bologna,,Porto - Saragozza,6,4.5,3,1,,61,,B&B - Triple with sharing bathroom,2017-04-30 22:55:21.277342,44.495184,11.34097,0101000020E610000091D5AD9E93AE264051C07630623F4640,
16720969,1179,20205514,Private room,,Bologna,,Porto - Saragozza,3,5,2,1,,45,,Leo's Atelier,2017-04-30 22:55:21.273018,44.490884,11.336162,0101000020E6100000DF50F86C1DAC264099107349D53E4640,
7553325,1179,35359157,Private room,,Bologna,,Santo Stefano,17,5,2,1,,50,,Stanza matrimoniale in centro,2017-04-30 22:55:21.270288,44.500245,11.349211,0101000020E610000092CEC0C8CBB22640677E350708404640,
13420433,1179,71660888,Private room,,Bologna,,Porto - Saragozza,31,4.5,2,1,,43,,La Lanterna,2017-04-30 22:55:21.267566,44.50391,11.339226,0101000020E6100000E2E7BF07AFAD26404D10751F80404640,
15527068,1179,7802745,Private room,,Bologna,,Santo Stefano,17,4.5,1,1,,50,,Palazzo Cavalieri Guesthouse -  Garisenda,2017-04-30 22:55:21.263256,44.497842,11.344057,0101000020E610000074EB353D28B02640A1496249B93F4640,
11746646,1179,2459989,Private room,,Bologna,,Santo Stefano,17,4.5,2,1,,58,,"Frescoed room, private bathroom & breakfast",2017-04-30 22:55:21.260574,44.496726,11.34839,0101000020E6100000C381902C60B226405589B2B7943F4640,
13921220,1179,30954849,Private room,,Bologna,,Santo Stefano,42,4.5,2,1,,55,,Stanza matrimoniale Federica,2017-04-30 22:55:21.257706,44.49713,11.343228,0101000020E61000009A249694BBAF264024EEB1F4A13F4640,
17264282,1179,40381348,Private room,,Bologna,,Navile,14,5,2,1,,45,,Camera doppia a due passi dalla stazione,2017-04-30 22:55:21.255041,44.512317,11.346582,0101000020E6100000B9C3263273B12640A9177C9A93414640,
10186998,1179,11610405,Private room,,Bologna,,Porto - Saragozza,59,5,2,1,,56,,"B&B A due passi dal Lumière, own bath",2017-04-30 22:55:21.252382,44.499302,11.335064,0101000020E6100000462234828DAB2640E869C020E93F4640,
17598827,1179,119593140,Private room,,Bologna,,Santo Stefano,7,5,3,1,,50,,Stanza privata con bagno a Bologna,2017-04-30 22:55:21.250235,44.475543,11.355978,0101000020E6100000E43098BF42B62640BE6BD097DE3C4640,
14785822,1179,92316430,Private room,,Bologna,,Porto - Saragozza,11,4.5,2,1,,56,,Casa Rocco,2017-04-30 22:55:21.244958,44.489741,11.337068,0101000020E6100000670E492D94AC2640534145D5AF3E4640,
16009697,1179,62951690,Private room,,Bologna,,Santo Stefano,49,4.5,2,1,,50,,"Stanza del Balconcino, stanza privata con bagno",2017-04-30 22:55:19.009469,44.495119,11.352113,0101000020E61000002EFEB62748B426406A50340F603F4640,
13147191,1179,7791610,Private room,,Bologna,,Navile,39,4.5,2,1,,54,,Confortevole stanza a due passi dal centro,2017-04-30 22:55:19.006324,44.507389,11.348915,0101000020E6100000ED2AA4FCA4B22640D2AC6C1FF2404640,
16293826,1179,34567460,Private room,,Bologna,,Santo Stefano,27,5,2,1,,47,,STANZA PIENO  CENTRO STORICO.,2017-04-30 22:55:19.000955,44.49605,11.345166,0101000020E6100000DD611399B9B026402497FF907E3F4640,
17106174,1179,114845496,Private room,,Bologna,,Santo Stefano,8,5,2,1,,45,,A casa di mia nonna,2017-04-30 22:55:18.986774,44.486724,11.349691,0101000020E61000003C69E1B20AB32640D316D7F84C3E4640,
10326583,1179,30830702,Private room,,Bologna,,Porto - Saragozza,9,5,2,1,,55,,Twin with Private External Bathroom,2017-04-30 22:55:18.983682,44.497149,11.341771,0101000020E61000004371C79BFCAE26409B1E1494A23F4640,
7571379,1179,31397939,Private room,,Bologna,,Porto - Saragozza,39,5,2,1,,62,,B&B  private bathroom near station,2017-04-30 22:55:18.980404,44.503902,11.340512,0101000020E610000086CABF9657AE2640CA3159DC7F404640,
13235400,1179,12733627,Private room,,Bologna,,San Donato - San Vitale,5,4,2,1,,46,,luminosa stanza matrimoniale o doppia,2017-04-30 22:55:18.977348,44.493164,11.367735,0101000020E61000006A300DC347BC264043C879FF1F3F4640,
13189491,1179,43360577,Private room,,Bologna,,Santo Stefano,6,4.5,1,1,,45,,Stanza Matrimonia ad uso singolo (bagno comune),2017-04-30 22:55:18.974498,44.483621,11.340112,0101000020E61000004DF4F92823AE26405454FD4AE73D4640,
17621451,1179,119795346,Private room,,Bologna,,Navile,7,4.5,1,1,,23,,One near TrainStation,2017-04-30 22:49:18.549606,44.508315,11.346293,0101000020E6100000DEAAEB504DB126407B88467710414640,
13278836,1179,28061496,Private room,,Bologna,,San Donato - San Vitale,78,4.5,2,1,,33,,Wonderful Room In Center Bologna,2017-04-30 22:49:18.546445,44.493803,11.360865,0101000020E6100000C68A1A4CC3B8264056D5CBEF343F4640,
14878613,1179,17160838,Private room,,Bologna,,Navile,36,5,2,1,,34,,Camera in appartamento in zona stazione,2017-04-30 22:49:17.185656,44.509209,11.347174,0101000020E6100000030B60CAC0B1264018EAB0C22D414640,
12423864,1179,60808964,Private room,,Bologna,,San Donato - San Vitale,2,,2,1,,16,,Stanza doppia con vista parco,2017-04-30 22:49:17.101193,44.506777,11.375481,0101000020E6100000EC89AE0B3FC02640B8AE9811DE404640,
9027392,1179,25102598,Private room,,Bologna,,Navile,144,4.5,4,1,,28,,Kinda Nice Wooden Room Trainstation,2017-04-30 22:49:17.019283,44.508978,11.348421,0101000020E6100000AF7AC03C64B226401631EC3026414640,
15189153,1179,43672431,Private room,,Bologna,,Santo Stefano,15,4.5,2,1,,29,,Doppia in Strada Maggiore,2017-04-30 22:49:13.917349,44.490977,11.352047,0101000020E6100000514F1F813FB426404A0B9755D83E4640,
15738942,1179,101702734,Private room,,Bologna,,Porto - Saragozza,6,5,3,1,,26,,Jolie,2017-04-30 22:49:13.912224,44.502409,11.31356,0101000020E6100000E3AAB2EF8AA02640A81B28F04E404640,
1343372,1179,7286265,Private room,,Bologna,,San Donato - San Vitale,173,5,2,1,,34,,BIG ROOM NEAR CITY CENTER AND FIERA DISTRICT,2017-04-30 22:49:13.894213,44.507119,11.365478,0101000020E6100000A2D0B2EE1FBB264012178046E9404640,
16716246,1179,103324743,Private room,,Bologna,,Porto - Saragozza,3,4.5,2,1,,39,,Stanza nel centro di Bologna.,2017-04-30 22:49:12.470116,44.497848,11.343049,0101000020E6100000DCD9571EA4AF26408330B77BB93F4640,
9490794,1179,34888837,Private room,,Bologna,,Porto - Saragozza,50,4.5,2,1,,39,,Affascinante casa in centro,2017-04-30 22:49:12.465225,44.494862,11.332667,0101000020E6100000B8EA3A5453AA26403E0455A3573F4640,
1076605,1179,5923033,Private room,,Bologna,,San Donato - San Vitale,53,5,1,1,,38,,ROOM&BREAKFAST From Dusk till Dawn ,2017-04-30 22:49:12.458952,44.500724,11.370807,0101000020E61000007841446ADABD264041295AB917404640,
106260,1179,550844,Private room,,Bologna,,Navile,130,5,4,1,,27,,Nice room & great food experience!!,2017-04-30 22:49:12.456134,44.5257,11.315295,0101000020E6100000452FA3586EA12640ECC039234A434640,
10227426,1179,52556563,Private room,,Bologna,,San Donato - San Vitale,43,5,1,1,,36,,private room and bike,2017-04-30 22:49:12.450026,44.5048,11.364248,0101000020E61000004E44BFB67EBA2640AA8251499D404640,
3307389,1179,16699849,Private room,,Bologna,,Porto - Saragozza,17,5,2,1,,37,,Your room in the heart of Bologna,2017-04-30 22:49:12.443988,44.498912,11.3229,0101000020E6100000BEC1172653A526407DCA3159DC3F4640,
12022385,1179,36133433,Private room,,Bologna,,Porto - Saragozza,19,5,2,1,,28,,Luminous very big room in green contest Bologna.,2017-04-30 22:49:12.438981,44.491379,11.312559,0101000020E61000001424B6BB07A026407978CF81E53E4640,
14066253,1179,61545426,Private room,,Bologna,,Porto - Saragozza,3,4,2,1,,39,,Luminosa e grande singola in centro,2017-04-30 22:49:12.435557,44.501165,11.339818,0101000020E61000002B2FF99FFCAD26402E73BA2C26404640,
13242521,1179,71357998,Private room,,Bologna,,Porto - Saragozza,4,4.5,2,1,,22,,Camera matrimoniale ampia luminosa Bologna stadio,2017-04-30 22:49:12.430666,44.48911,11.307026,0101000020E61000001C0B0A83329D2640C2120F289B3E4640,
7056130,1179,35939503,Private room,,Bologna,,Santo Stefano,28,4.5,1,1,,26,,Green-Friendly Room in Old Town,2017-04-30 22:49:12.419300,44.492739,11.356142,0101000020E6100000CD76853E58B626405C3B5112123F4640,
17771608,1179,121322073,Private room,,Bologna,,San Donato - San Vitale,4,5,1,1,,20,,"Single Room, WIFI, very near to the center",2017-04-30 22:49:12.416438,44.493522,11.365973,0101000020E6100000227024D060BB2640A2ED98BA2B3F4640,
13987070,1179,46096243,Private room,,Bologna,,Porto - Saragozza,8,5,1,1,,34,,"Lovely room in a ""strategic"" area",2017-04-30 22:49:10.896720,44.498267,11.318938,0101000020E61000003EE76ED74BA3264088D68A36C73F4640,
13898952,1179,1168194,Private room,,Bologna,,Navile,15,4.5,2,1,,28,,Bologna Fiera - Vacanze,2017-04-30 22:49:10.890172,44.528603,11.361354,0101000020E6100000BD8E386403B92640A3C85A43A9434640,
8961375,1179,46835103,Private room,,Bologna,,San Donato - San Vitale,6,5,2,1,,23,,"Casa del Parco, luminoso appartamento piano terra",2017-04-30 22:49:10.882921,44.493977,11.376395,0101000020E61000007FC16ED8B6C02640F4FC69A33A3F4640,
2868862,1179,13085685,Private room,,Bologna,,San Donato - San Vitale,19,4.5,2,1,,28,,"Single room, Sant'Orsola H, Bo Fiere, near center",2017-04-30 22:49:10.869201,44.492713,11.36727,0101000020E6100000959A3DD00ABC264033A83638113F4640,
8657975,1179,34645622,Private room,,Bologna,,San Donato - San Vitale,36,4.5,2,1,,34,,At Grandma's (private bathroom),2017-04-30 22:49:10.861809,44.494551,11.397225,0101000020E6100000A54E401361CB2640209A79724D3F4640,
14259666,1179,85939865,Private room,,Bologna,,Santo Stefano,4,5,4,1,,30,,"P7, luminous rooms in the heart of Bologna I",2017-04-30 22:49:10.854260,44.493824,11.351361,0101000020E6100000022EC896E5B326406DFDF49F353F4640,
