,Unnamed: 0,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zone
0,0,42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.48507,11.34786,Entire home/apt,68,3,172,2019-04-01,1.66,4,168,Galvani
1,1,46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49146,11.33504,Private room,28,1,171,2019-03-26,1.64,2,354,Malpighi
2,2,59697,BOLOGNA CENTRE RELAX & COMFORT,286688,Paolo,,Santo Stefano,44.48755,11.34058,Entire home/apt,70,1,217,2019-01-01,2.8,1,296,Galvani
3,3,70366,Fuoriporta,356310,Maria Ebe,,Porto - Saragozza,44.49699,11.32206,Entire home/apt,69,1,6,2018-12-07,0.1,1,360,Saffi
4,4,72319,AmaBologna Bed & Breakfast porticos,374533,Ersi,,Porto - Saragozza,44.48972,11.32072,Private room,36,3,30,2019-01-01,0.33,2,344,Costa Saragozza
5,5,72628,Studio Spagna 2,377010,Donatella,,Porto - Saragozza,44.49176,11.33918,Entire home/apt,132,1,5,2019-03-31,5.0,2,218,Malpighi
6,6,83173,Cosy and bright rooms in Bologna,453008,Fulvio,,Navile,44.51013,11.34316,Private room,26,30,70,2018-06-19,0.73,2,100,Bolognina
7,7,85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47834,11.35672,Entire home/apt,130,2,39,2019-03-18,0.45,1,314,Murri
8,8,87363,Green courtyard in Bologna,478689,Michelle,,Porto - Saragozza,44.49109,11.32244,Entire home/apt,75,5,24,2018-10-15,0.29,1,2,Costa Saragozza
9,9,106260,Nice room & great food experience!!,550844,Andrea & Susanna,,Navile,44.5257,11.31529,Private room,24,2,162,2018-11-16,1.7,3,358,Lame
10,10,130642,B&B Betta & Bologna,643133,Elisabetta,,Savena,44.46755,11.3889,Private room,50,2,25,2016-10-19,0.27,1,365,Mazzini
11,11,145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.4922,11.33727,Private room,40,3,54,2019-02-02,0.59,8,362,Malpighi
12,12,163336,Guesthouse Cartoleria - room 2,779753,Samantha,,Santo Stefano,44.48944,11.34848,Private room,35,1,91,2019-04-04,0.97,6,137,Galvani
13,13,187872,"HOMEMADE Breakfast, Pasta or Pizza!",550844,Andrea & Susanna,,Navile,44.5257,11.3141,Private room,35,2,47,2018-11-18,0.51,3,364,Lame
14,14,204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,44.49105,11.33982,Private room,49,2,226,2019-04-03,2.45,2,70,Malpighi
15,15,207245,3 Bedrooms + Terrace Bologna Old Town Center,569422,Elizabeth,,Porto - Saragozza,44.49254000000001,11.34009,Entire home/apt,110,3,39,2019-03-11,0.48,2,37,Malpighi
16,16,209692,a Bologna per vacanze e lavoro ,1033461,Lelio,,Navile,44.51628,11.33074,Private room,25,1,17,2019-03-10,1.09,2,287,Lame
17,17,219878,Gorgeous Haven in Centro Storico,1139326,Eli,,Santo Stefano,44.48677,11.35494,Entire home/apt,85,3,124,2019-01-04,1.36,2,121,Galvani
18,18,228124,"Self Check-In Apartment ""da Carlo e Alice""",1189801,Michela,,San Donato - San Vitale,44.50461,11.36924,Entire home/apt,60,2,138,2019-04-07,2.25,1,312,San Donato
19,19,228628,"room in luxurious penthouse,centre",1193466,Luca,,Porto - Saragozza,44.49585,11.33838,Private room,66,2,96,2019-01-02,1.2,1,345,Marconi
20,20,229114,Terrace between fair&city center,1196205,Davide,,Navile,44.51163,11.34916,Entire home/apt,64,3,24,2018-11-25,0.3,1,68,Bolognina
21,21,233922,Big and central studio open space,1224822,Antonella,,Porto - Saragozza,44.49589,11.32976,Entire home/apt,80,3,19,2018-07-02,0.28,1,353,Malpighi
22,22,246747,Charming centro Bologna room with rooftop view,1294101,Giovanna,,Porto - Saragozza,44.49702,11.34291,Private room,68,2,19,2019-04-04,0.24,1,319,Marconi
23,23,250686,Guesthouse Cartoleria - room 4,779753,Samantha,,Santo Stefano,44.48858,11.34782,Private room,40,1,105,2019-04-05,1.24,6,135,Galvani
24,24,266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,,Porto - Saragozza,44.49487,11.33241,Entire home/apt,85,3,46,2019-03-26,0.53,1,200,Malpighi
25,25,273713,pleasant bedroom in Bologna centre,1432012,Gianluca,,Porto - Saragozza,44.49517,11.33964,Private room,60,2,25,2019-04-03,0.51,1,344,Marconi
26,26,286691,"Sunny,Quiet Room Near Center/Fiera ",1517686,Valerio,,Santo Stefano,44.47361,11.36977,Private room,50,1,21,2019-03-20,0.26,1,365,Murri
27,27,293536,Wonderful house in the heart of Bologna,1517643,Nicola,,Santo Stefano,44.49439,11.35371,Entire home/apt,130,7,26,2018-07-17,0.31,1,335,Irnerio
28,28,306910,Albiroli apartment-Piazza Maggiore,1578729,Giulio,,Santo Stefano,44.49555,11.3443,Entire home/apt,150,3,22,2019-03-08,0.26,1,272,Irnerio
29,29,309169,New Fresco Suite   in historic centre,184487,Carlo,,Santo Stefano,44.48563,11.34797,Private room,100,1,67,2019-03-18,0.78,4,41,Galvani
30,30,359045,Elegante Mansarda - BOLOGNA CENTRO,1817171,Francesca,,Santo Stefano,44.49512,11.35045,Entire home/apt,55,7,55,2019-01-02,0.67,2,249,Irnerio
31,31,359082,Elegante Mansarda - BOLOGNA CENTRO,1817171,Francesca,,Santo Stefano,44.49687,11.35013,Private room,55,7,1,2019-01-25,0.39,2,297,Irnerio
32,32,372605,Graziosa casetta monolocale in Bologna,1875532,Antonella,,Santo Stefano,44.47758,11.34798,Entire home/apt,70,2,8,2018-07-15,0.38,1,301,Colli
33,33,372849,Apartment Pietro's (center city),1876282,Doriana E Pietro,,Santo Stefano,44.49242,11.35593,Entire home/apt,55,2,51,2019-04-05,0.77,2,315,Irnerio
34,34,373095,A due passi da Piazza Maggiore,1877146,Giulio,,Porto - Saragozza,44.49646,11.33054,Entire home/apt,69,2,70,2019-03-17,0.84,5,62,Malpighi
35,35,374090,Appartamento in pieno centro,1882258,Morena,,Porto - Saragozza,44.49462,11.33088,Entire home/apt,100,2,194,2019-03-04,2.29,2,345,Malpighi
36,36,374610,"Cozy studio ,WIFI,kitchen and bath!",1884566,Federico,,Santo Stefano,44.49128,11.35617,Entire home/apt,51,2,75,2019-03-18,1.01,4,343,Irnerio
37,37,376826,"Nice, Loft in the historic center",1877146,Giulio,,Porto - Saragozza,44.49603,11.33676,Entire home/apt,90,2,194,2018-10-20,2.3,5,205,Marconi
38,38,383256,Apartment Open Space on two floor!,1884566,Federico,,Porto - Saragozza,44.50103,11.34218,Entire home/apt,75,2,144,2019-03-23,1.69,4,338,Marconi
39,39,388886,Room 10min from city center and airport,1945715,Andrea,,Navile,44.52427,11.3142,Private room,30,2,11,2018-11-18,0.14,1,87,Lame
40,40,411523,Melograno's house downtown Bologna,2048622,Irene,,Santo Stefano,44.49395,11.35397,Entire home/apt,80,3,87,2019-04-03,1.24,3,259,Irnerio
41,41,428387,Casa Nobili,675980,Giuseppe,,Santo Stefano,44.49271,11.3449,Entire home/apt,57,2,420,2019-03-24,5.26,1,183,Galvani
42,42,434123,La valigia italiana,2157833,Grazia,,San Donato - San Vitale,44.48593,11.36841,Private room,35,2,79,2019-04-07,0.94,1,108,S. Vitale
43,43,434796,"BELLA RESINA,zona FIERA tangenziale",2160085,Claudia,,San Donato - San Vitale,44.52134,11.38173,Private room,100,2,11,2018-09-27,0.14,1,0,San Donato
44,44,442819,apartment near down town,2200704,Gianmassimo,,Porto - Saragozza,44.49583,11.31676,Private room,40,1,87,2019-04-09,1.05,1,51,Costa Saragozza
45,45,447120,Green area ten minutes from downtow,2219894,Stefania,,Savena,44.46936,11.38413,Private room,48,1,10,2018-03-16,0.13,1,305,Mazzini
46,46,496906,charming studio in the old town,2453897,Alessandro,,Porto - Saragozza,44.49032,11.33749,Entire home/apt,65,2,3,2016-09-24,0.05,2,316,Malpighi
