,Unnamed: 0,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zone
0,0,42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.48507,11.34786,Entire home/apt,68,3,173,2019-05-30,1.58,4,207,Galvani
1,1,46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49168,11.33514,Private room,30,1,228,2019-09-19,2.08,2,347,Malpighi
2,2,59697,BOLOGNA CENTRE RELAX & COMFORT,286688,Paolo,,Santo Stefano,44.48755,11.34058,Entire home/apt,70,1,219,2019-06-13,2.65,1,341,Galvani
3,3,70366,Fuoriporta,356310,Maria Ebe,,Porto - Saragozza,44.49699,11.32206,Entire home/apt,63,1,6,2018-12-07,0.09,1,358,Saffi
4,4,72319,AmaBologna Bed & Breakfast porticos,374533,Ersi,,Porto - Saragozza,44.48972,11.32072,Private room,36,3,32,2019-08-23,0.33,2,352,Costa Saragozza
5,5,72628,Studio Spagna 2,377010,Donatella,,Porto - Saragozza,44.49176,11.33918,Entire home/apt,132,1,21,2019-09-16,3.33,3,264,Malpighi
6,6,83173,Cosy and bright rooms in Bologna,453008,Fulvio,,Navile,44.51013,11.34316,Private room,26,90,70,2018-06-19,0.69,2,48,Bolognina
7,7,85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47834,11.35672,Entire home/apt,130,2,39,2019-03-18,0.43,1,352,Murri
8,8,130642,B&B Betta & Bologna,643133,Elisabetta,,Savena,44.46755,11.3889,Private room,50,2,25,2016-10-19,0.25,1,357,Mazzini
9,9,145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.4922,11.33727,Private room,40,3,60,2019-09-17,0.61,9,234,Malpighi
10,10,163336,Guesthouse Cartoleria - room 2,779753,Samantha,,Santo Stefano,44.48944,11.34848,Private room,35,1,91,2019-04-04,0.92,6,57,Galvani
11,11,168963,Two room apartment for holiday or business,805148,Giuseppina,,Navile,44.5209,11.31697,Entire home/apt,40,3,5,2019-09-19,0.06,1,360,Lame
12,12,204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,44.49105,11.33982,Private room,50,2,234,2019-06-14,2.39,2,86,Malpighi
13,13,207245,3 Bedrooms + Terrace Bologna Old Town Center,569422,Elizabeth,,Porto - Saragozza,44.49254000000001,11.34009,Entire home/apt,110,5,45,2019-08-28,0.52,2,26,Malpighi
14,14,209692,a Bologna per vacanze e lavoro ,1033461,Lelio,,Navile,44.51628,11.33074,Private room,25,1,19,2019-09-06,0.91,3,270,Lame
15,15,219878,Gorgeous Haven in Centro Storico,1139326,Eli,,Santo Stefano,44.48677,11.35494,Entire home/apt,85,2,133,2019-07-12,1.38,2,147,Galvani
16,16,228124,"Self Check-In Apartment ""da Carlo e Alice""",1189801,Michela,,San Donato - San Vitale,44.50461,11.36924,Entire home/apt,48,2,158,2019-09-16,2.37,1,317,San Donato
17,17,228628,"room in luxurious penthouse,centre",1193466,Luca,,Porto - Saragozza,44.49585,11.33838,Private room,66,2,98,2019-05-28,1.14,1,362,Marconi
18,18,229114,Terrace between fair&city center,1196205,Davide,,Navile,44.51163,11.34916,Entire home/apt,64,3,26,2019-09-09,0.31,1,114,Bolognina
19,19,233922,Big and central studio open space,1224822,Antonella,,Porto - Saragozza,44.49589,11.32976,Entire home/apt,80,4,19,2018-07-02,0.26,1,311,Malpighi
20,20,246747,Charming centro Bologna room with rooftop view,1294101,Giovanna,,Porto - Saragozza,44.49702,11.34291,Private room,68,2,19,2019-04-04,0.22,1,336,Marconi
21,21,250686,Guesthouse Cartoleria - room 4,779753,Samantha,,Santo Stefano,44.48858,11.34782,Private room,40,1,114,2019-09-14,1.27,6,58,Galvani
22,22,266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,,Porto - Saragozza,44.49487,11.33241,Entire home/apt,85,3,52,2019-08-30,0.57,1,261,Malpighi
23,23,273713,pleasant bedroom in Bologna centre,1432012,Gianluca,,Porto - Saragozza,44.49517,11.33964,Private room,60,2,26,2019-04-13,0.47,1,351,Marconi
24,24,286691,"Sunny,Quiet Room Near Center/Fiera ",1517686,Valerio,,Santo Stefano,44.47361,11.36977,Private room,50,1,21,2019-03-20,0.24,1,365,Murri
25,25,293536,Wonderful house in the heart of Bologna,1517643,Nicola,,Santo Stefano,44.49439,11.35371,Entire home/apt,130,7,32,2019-06-13,0.35,1,289,Irnerio
26,26,306910,Albiroli apartment-Piazza Maggiore,1578729,Giulio,,Santo Stefano,44.49555,11.3443,Entire home/apt,150,3,22,2019-03-08,0.24,1,319,Irnerio
27,27,309169,New Fresco Suite   in historic centre,184487,Carlo,,Santo Stefano,44.48563,11.34797,Private room,100,1,70,2019-03-18,0.89,4,0,Galvani
28,28,359045,Elegante Mansarda - BOLOGNA CENTRO,1817171,Francesca,,Santo Stefano,44.49512,11.35045,Entire home/apt,55,7,62,2019-09-06,0.7,1,257,Irnerio
29,29,372605,Graziosa casetta monolocale in Bologna,1875532,Antonella,,Santo Stefano,44.47758,11.34798,Entire home/apt,70,2,9,2019-06-21,0.34,1,280,Colli
30,30,372849,Apartment Pietro's (center city),1876282,Doriana E Pietro,,Santo Stefano,44.49242,11.35593,Entire home/apt,55,2,51,2019-04-05,0.71,2,230,Irnerio
31,31,373095,A due passi da Piazza Maggiore,1877146,Giulio,,Porto - Saragozza,44.49646,11.33054,Entire home/apt,69,2,73,2019-05-13,0.82,5,26,Malpighi
32,32,374090,Appartamento in pieno centro,1882258,Morena,,Porto - Saragozza,44.49462,11.33088,Entire home/apt,100,2,203,2019-09-10,2.26,2,330,Malpighi
33,33,374610,"Cozy studio ,WIFI,kitchen and bath!",1884566,Federico,,Santo Stefano,44.49128,11.35617,Entire home/apt,51,2,76,2019-06-21,0.96,4,351,Irnerio
34,34,376826,"Nice, Loft in the historic center",1877146,Giulio,,Porto - Saragozza,44.49603,11.33676,Entire home/apt,90,2,197,2019-09-07,2.19,5,312,Marconi
35,35,383256,Apartment Open Space on two floor!,1884566,Federico,,Porto - Saragozza,44.50103,11.34218,Entire home/apt,75,2,156,2019-08-25,1.72,4,222,Marconi
36,36,411523,Melograno's house downtown Bologna,2048622,Irene,,Santo Stefano,44.49395,11.35397,Entire home/apt,80,3,90,2019-06-24,1.19,3,303,Irnerio
37,37,428387,Casa Nobili,675980,Giuseppe,,Santo Stefano,44.49271,11.3449,Entire home/apt,57,2,449,2019-09-02,5.27,1,193,Galvani
38,38,434123,La valigia italiana,2157833,Grazia,,San Donato - San Vitale,44.48593,11.36841,Private room,30,2,84,2019-08-28,0.94,1,47,S. Vitale
39,39,434796,"BELLA RESINA,zona FIERA tangenziale",2160085,Claudia,,San Donato - San Vitale,44.52134,11.38173,Private room,100,2,11,2018-09-27,0.13,1,0,San Donato
40,40,442819,apartment near down town,2200704,Gianmassimo,,Porto - Saragozza,44.49583,11.31676,Private room,40,1,97,2019-08-08,1.09,1,65,Costa Saragozza
41,41,447120,Green area ten minutes from downtow,2219894,Stefania,,Savena,44.46936,11.38413,Private room,48,1,10,2018-03-16,0.13,1,262,Mazzini
42,42,496906,charming studio in the old town,2453897,Alessandro,,Porto - Saragozza,44.49032,11.33749,Entire home/apt,65,2,4,2019-07-21,0.06,2,228,Malpighi
43,43,510771,"BOLOGNA CITY, NEAR FAIR AND AIRPORT",2516628,Coach Maurizio Salamina,,Borgo Panigale - Reno,44.49596,11.2911,Private room,100,1,52,2016-01-02,0.61,1,0,Barca
44,44,524880,Petronio's house in the heart of Bo,2048622,Irene,,Santo Stefano,44.48855,11.35387,Entire home/apt,60,3,116,2019-05-27,1.33,3,351,Galvani
45,45,531700,2 Torri Historical Center ♥ Ideal Family & Friends,2613427,Caterina,,Santo Stefano,44.49361,11.34889,Entire home/apt,60,2,302,2019-09-17,3.51,1,304,Irnerio
46,46,556818,A nice flat in the heart of thcity,612927,Angiolo,,Santo Stefano,44.49723,11.34701,Entire home/apt,120,3,83,2019-09-15,1.04,1,238,Irnerio
47,47,568236,Beautiful Historical Apartment,2606628,Barbara,,Santo Stefano,44.4808,11.36122,Entire home/apt,85,2,12,2016-03-22,0.14,1,360,Murri
48,48,570880,sweet loft in bologna's heart,123920,Giorgio,,Porto - Saragozza,44.49147,11.33661,Entire home/apt,100,2,62,2019-08-12,0.71,1,338,Malpighi
49,49,584370,Cosy Single Room with  bathroom,2879369,Andrea,,Porto - Saragozza,44.49092,11.31353,Private room,40,1,16,2019-04-05,0.2,2,344,Costa Saragozza
50,50,659045,wonderful apartment near the center,2453897,Alessandro,,Porto - Saragozza,44.49961,11.31763,Entire home/apt,60,2,4,2019-05-19,0.05,2,149,Saffi
51,51,664360,Sunny room in Bologna,3246049,Francesco,,Santo Stefano,44.4812,11.36975,Private room,48,4,8,2018-12-02,0.1,3,141,Murri
52,52,670524,Nice apt in the historical center,3397512,Giulio,,Santo Stefano,44.49282,11.35501,Entire home/apt,60,2,12,2018-07-25,0.14,1,0,Irnerio
53,53,670610,Easy Bologna for all seasons,3315552,Federica,,Porto - Saragozza,44.50434,11.33231,Entire home/apt,45,3,37,2019-04-26,0.44,1,341,Saffi
54,54,670725,Camera singola e bagno accogliente ,3398944,Enzo,,Savena,44.46988,11.37673,Private room,75,1,2,2018-10-07,0.03,2,360,S. Ruffillo
55,55,675432,Amazing attic with lovely terrace ,3430935,Lisetta,,Santo Stefano,44.48845,11.34062,Entire home/apt,100,2,124,2019-05-26,1.45,1,355,Malpighi
56,56,684271,Ca 'de' Fiori self catering apartm.,3488947,Cristina,,Navile,44.51541,11.34628,Entire home/apt,110,2,4,2018-11-11,0.08,1,365,Bolognina
57,57,690226,Bologna on the roof,2048622,Irene,,Santo Stefano,44.49069,11.3518,Entire home/apt,100,3,60,2019-09-10,0.71,3,204,Galvani
58,58,692204,"my nice, wood and white, apartment",1863279,Caterina,,Savena,44.46966,11.37762,Entire home/apt,60,3,17,2016-10-14,0.2,1,354,S. Ruffillo
59,59,704579,white room with hotel service,3442402,Alfonso,,Navile,44.5133,11.34906,Private room,79,2,20,2019-03-17,0.24,2,86,Bolognina
60,60,708145,A little nest in Bologna,3641392,A Casa Fuori Casa Di Stefano & Cinz,,Borgo Panigale - Reno,44.50815,11.29563,Entire home/apt,1200,2,32,2018-03-19,0.4,1,80,S. Viola
61,61,715819,Bright and elegant big apartment,3688693,Nic&Giovi,,Santo Stefano,44.47391,11.36788,Entire home/apt,73,2,82,2019-09-01,1.0,2,100,Murri
62,62,724304,Bologna cities and universities,3026417,Michela,,Santo Stefano,44.49325,11.35119,Entire home/apt,110,2,42,2019-06-30,0.52,1,286,Irnerio
63,63,724499,Cozy single room in historic centre,184487,Carlo,,Santo Stefano,44.48698,11.34894,Private room,40,1,30,2019-09-08,0.38,4,122,Galvani
64,64,725694,Cosy and bright room in Bologna 2,453008,Fulvio,,Navile,44.51012,11.34125,Private room,32,1,26,2019-08-30,0.31,2,0,Bolognina
65,65,728099,Large tavernetta 7 minutes from Bologna,2047280,Gabriele,,Borgo Panigale - Reno,44.51518,11.28274,Entire home/apt,38,2,137,2019-08-25,1.62,3,356,Borgo Panigale
66,66,732204,V4 - BOLOGNA AT HEART,1647751,Claudia,,Porto - Saragozza,44.49829,11.34302,Private room,42,1,353,2019-09-14,4.56,1,0,Marconi
67,67,732525,room in Bologna with bathroom,2879369,Andrea,,Porto - Saragozza,44.49092,11.31235,Private room,50,1,16,2017-10-06,0.2,2,365,Costa Saragozza
68,68,742415,"IN FIERA 5: large,in the face fair",3858191,Ennio,,San Donato - San Vitale,44.50619,11.36288,Entire home/apt,170,1,30,2019-05-10,0.45,3,352,San Donato
69,69,749324,Quiet Studio in Old Town,1877146,Giulio,,Porto - Saragozza,44.49629,11.33504,Entire home/apt,68,2,321,2019-09-04,3.83,5,281,Marconi
70,70,766048,La migliore vista della città.,4039523,Riccardo,,Santo Stefano,44.49924,11.34543,Entire home/apt,85,2,191,2019-09-15,2.42,1,69,Irnerio
71,71,793706,Miniappartamento in tavernetta,4181174,Flavia,,Santo Stefano,44.4879,11.34192,Entire home/apt,35,3,331,2019-09-06,4.05,1,296,Galvani
