,Unnamed: 0,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zone
0,0,42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.48507,11.34786,Entire home/apt,68,3,175,2021-04-06,1.36,3,0,Galvani
1,1,46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49168,11.33514,Private room,29,1,264,2020-12-23,2.05,3,365,Malpighi
2,2,59697,BOLOGNA CENTRE RELAX & COMFORT,286688,Paolo,,Santo Stefano,44.48817,11.34124,Entire home/apt,70,1,240,2020-10-04,2.35,1,361,Galvani
3,3,85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47834,11.35672,Entire home/apt,130,2,40,2019-11-03,0.36,1,364,Murri
4,4,85399,A bed in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.48984,11.3354,Shared room,26,1,112,2014-07-10,0.92,3,364,Malpighi
5,5,145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.49306,11.33786,Private room,40,3,64,2020-09-19,0.55,9,365,Malpighi
6,6,168963,Two room apartment for holiday or business,805148,Lara,,Navile,44.5209,11.31697,Entire home/apt,36,3,5,2019-09-19,0.05,2,284,Lame
7,7,204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,44.49105,11.33982,Private room,46,2,248,2020-02-23,2.12,2,0,Malpighi
8,8,207245,3 Bedrooms + Terrace Bologna Old Town Center,569422,Elizabeth,,Porto - Saragozza,44.49254000000001,11.34009,Entire home/apt,113,10,46,2020-01-04,0.43,2,29,Malpighi
9,9,209692,a Bologna per vacanze e lavoro,1033461,Lelio,,Navile,44.51628,11.33074,Private room,25,1,19,2019-09-06,0.47,3,294,Lame
10,10,219878,Gorgeous Haven in Centro Storico,1139326,Eli,,Santo Stefano,44.48787,11.35392,Entire home/apt,85,3,137,2020-01-02,1.18,2,87,Galvani
11,11,229114,Terrace between fair&city center,1196205,Davide,,Navile,44.51072,11.34957,Entire home/apt,64,3,28,2019-12-01,0.27,1,144,Bolognina
12,12,233922,Big and central studio open space,1224822,Antonella,,Porto - Saragozza,44.49589,11.32976,Entire home/apt,80,4,19,2018-07-02,0.21,1,302,Malpighi
13,13,245295,dormire nel verde,1286718,Nicoletta,,Porto - Saragozza,44.4868,11.31471,Entire home/apt,79,3,8,2017-11-07,0.07,3,295,Costa Saragozza
